protein	stretch_length	letter	group	pfam_id
ENSP00000443647	1	L	Hs_ps13-17	PF15334.5
ENSP00000443647	13	L	Hs_ps13-17	PF15334.5
ENSP00000443647	7	L	Hs_ps13-17	PF15334.5
ENSP00000443647	16	L	Hs_ps13-17	PF15334.5
ENSP00000443647	4	L	Hs_ps13-17	PF15334.5
ENSP00000443647	6	L	Hs_ps13-17	PF15334.5
ENSP00000443647	20	L	Hs_ps13-17	PF15334.5
ENSP00000443647	14	L	Hs_ps13-17	PF15334.5
ENSP00000443647	5	L	Hs_ps13-17	PF15334.5
ENSP00000443647	24	L	Hs_ps13-17	PF15334.5
ENSP00000443647	13	L	Hs_ps13-17	PF15334.5
ENSP00000378996	2	E	Hs_ps13-17	PF11092.7
ENSP00000378996	6	E	Hs_ps13-17	PF11092.7
ENSP00000378996	2	E	Hs_ps13-17	PF11092.7
ENSP00000378996	3	L	Hs_ps13-17	PF11092.7
ENSP00000378996	34	L	Hs_ps13-17	PF11092.7
ENSP00000378996	13	L	Hs_ps13-17	PF11092.7
ENSP00000313809	9	H	Hs_ps13-17	PF05111.11
ENSP00000391800	5	E	Hs_ps13-17	PF15360.5
ENSP00000391800	17	L	Hs_ps13-17	PF15360.5
ENSP00000252490	27	H	Hs_ps13-17	PF05355.10
ENSP00000252490	12	H	Hs_ps13-17	PF05355.10
ENSP00000252490	3	L	Hs_ps13-17	PF05355.10
ENSP00000252490	1	L	Hs_ps13-17	PF05355.10
ENSP00000468139	28	H	Hs_ps13-17	PF05355.10
ENSP00000468139	11	H	Hs_ps13-17	PF05355.10
ENSP00000468139	4	L	Hs_ps13-17	PF05355.10
ENSP00000468139	1	L	Hs_ps13-17	PF05355.10
ENSP00000476911	24	H	Hs_ps13-17	PF04711.12
ENSP00000476911	2	L	Hs_ps13-17	PF04711.12
ENSP00000468029	30	H	Hs_ps13-17	PF04691.11
ENSP00000468029	4	L	Hs_ps13-17	PF04691.11
ENSP00000468139	27	H	Hs_ps13-17	PF15119.5
ENSP00000468139	2	L	Hs_ps13-17	PF15119.5
ENSP00000317674	6	E	Hs_ps13-17	PF05461.10
ENSP00000317674	8	H	Hs_ps13-17	PF05461.10
ENSP00000317674	10	H	Hs_ps13-17	PF05461.10
ENSP00000317674	18	H	Hs_ps13-17	PF05461.10
ENSP00000317674	38	H	Hs_ps13-17	PF05461.10
ENSP00000317674	15	H	Hs_ps13-17	PF05461.10
ENSP00000317674	89	H	Hs_ps13-17	PF05461.10
ENSP00000317674	13	H	Hs_ps13-17	PF05461.10
ENSP00000317674	49	H	Hs_ps13-17	PF05461.10
ENSP00000317674	3	L	Hs_ps13-17	PF05461.10
ENSP00000317674	3	L	Hs_ps13-17	PF05461.10
ENSP00000317674	8	L	Hs_ps13-17	PF05461.10
ENSP00000317674	4	L	Hs_ps13-17	PF05461.10
ENSP00000317674	3	L	Hs_ps13-17	PF05461.10
ENSP00000317674	6	L	Hs_ps13-17	PF05461.10
ENSP00000317674	2	L	Hs_ps13-17	PF05461.10
ENSP00000317674	5	L	Hs_ps13-17	PF05461.10
ENSP00000317674	4	L	Hs_ps13-17	PF05461.10
ENSP00000249044	5	E	Hs_ps13-17	PF05461.10
ENSP00000249044	2	H	Hs_ps13-17	PF05461.10
ENSP00000249044	9	H	Hs_ps13-17	PF05461.10
ENSP00000249044	21	H	Hs_ps13-17	PF05461.10
ENSP00000249044	39	H	Hs_ps13-17	PF05461.10
ENSP00000249044	15	H	Hs_ps13-17	PF05461.10
ENSP00000249044	30	H	Hs_ps13-17	PF05461.10
ENSP00000249044	12	H	Hs_ps13-17	PF05461.10
ENSP00000249044	40	H	Hs_ps13-17	PF05461.10
ENSP00000249044	11	H	Hs_ps13-17	PF05461.10
ENSP00000249044	12	H	Hs_ps13-17	PF05461.10
ENSP00000249044	36	H	Hs_ps13-17	PF05461.10
ENSP00000249044	3	L	Hs_ps13-17	PF05461.10
ENSP00000249044	4	L	Hs_ps13-17	PF05461.10
ENSP00000249044	3	L	Hs_ps13-17	PF05461.10
ENSP00000249044	5	L	Hs_ps13-17	PF05461.10
ENSP00000249044	3	L	Hs_ps13-17	PF05461.10
ENSP00000249044	6	L	Hs_ps13-17	PF05461.10
ENSP00000249044	1	L	Hs_ps13-17	PF05461.10
ENSP00000249044	3	L	Hs_ps13-17	PF05461.10
ENSP00000249044	3	L	Hs_ps13-17	PF05461.10
ENSP00000249044	5	L	Hs_ps13-17	PF05461.10
ENSP00000249044	1	L	Hs_ps13-17	PF05461.10
ENSP00000249044	4	L	Hs_ps13-17	PF05461.10
ENSP00000386280	6	E	Hs_ps13-17	PF05461.10
ENSP00000386280	7	H	Hs_ps13-17	PF05461.10
ENSP00000386280	37	H	Hs_ps13-17	PF05461.10
ENSP00000386280	15	H	Hs_ps13-17	PF05461.10
ENSP00000386280	30	H	Hs_ps13-17	PF05461.10
ENSP00000386280	58	H	Hs_ps13-17	PF05461.10
ENSP00000386280	13	H	Hs_ps13-17	PF05461.10
ENSP00000386280	50	H	Hs_ps13-17	PF05461.10
ENSP00000386280	2	L	Hs_ps13-17	PF05461.10
ENSP00000386280	3	L	Hs_ps13-17	PF05461.10
ENSP00000386280	3	L	Hs_ps13-17	PF05461.10
ENSP00000386280	6	L	Hs_ps13-17	PF05461.10
ENSP00000386280	1	L	Hs_ps13-17	PF05461.10
ENSP00000386280	1	L	Hs_ps13-17	PF05461.10
ENSP00000386280	4	L	Hs_ps13-17	PF05461.10
ENSP00000386280	3	L	Hs_ps13-17	PF05461.10
ENSP00000324277	6	E	Hs_ps13-17	PF05461.10
ENSP00000324277	20	H	Hs_ps13-17	PF05461.10
ENSP00000324277	15	H	Hs_ps13-17	PF05461.10
ENSP00000324277	30	H	Hs_ps13-17	PF05461.10
ENSP00000324277	3	L	Hs_ps13-17	PF05461.10
ENSP00000324277	3	L	Hs_ps13-17	PF05461.10
ENSP00000324277	6	L	Hs_ps13-17	PF05461.10
ENSP00000324277	1	L	Hs_ps13-17	PF05461.10
ENSP00000365081	8	E	Hs_ps13-17	PF11032.7
ENSP00000365081	8	E	Hs_ps13-17	PF11032.7
ENSP00000365081	9	E	Hs_ps13-17	PF11032.7
ENSP00000365081	10	E	Hs_ps13-17	PF11032.7
ENSP00000365081	4	E	Hs_ps13-17	PF11032.7
ENSP00000365081	8	E	Hs_ps13-17	PF11032.7
ENSP00000365081	7	E	Hs_ps13-17	PF11032.7
ENSP00000365081	8	E	Hs_ps13-17	PF11032.7
ENSP00000365081	17	H	Hs_ps13-17	PF11032.7
ENSP00000365081	5	H	Hs_ps13-17	PF11032.7
ENSP00000365081	27	L	Hs_ps13-17	PF11032.7
ENSP00000365081	4	L	Hs_ps13-17	PF11032.7
ENSP00000365081	5	L	Hs_ps13-17	PF11032.7
ENSP00000365081	5	L	Hs_ps13-17	PF11032.7
ENSP00000365081	5	L	Hs_ps13-17	PF11032.7
ENSP00000365081	5	L	Hs_ps13-17	PF11032.7
ENSP00000365081	5	L	Hs_ps13-17	PF11032.7
ENSP00000365081	4	L	Hs_ps13-17	PF11032.7
ENSP00000365081	3	L	Hs_ps13-17	PF11032.7
ENSP00000365081	6	L	Hs_ps13-17	PF11032.7
ENSP00000369513	7	E	Hs_ps13-17	PF05827.11
ENSP00000369513	12	E	Hs_ps13-17	PF05827.11
ENSP00000369513	3	E	Hs_ps13-17	PF05827.11
ENSP00000369513	15	E	Hs_ps13-17	PF05827.11
ENSP00000369513	6	H	Hs_ps13-17	PF05827.11
ENSP00000369513	5	H	Hs_ps13-17	PF05827.11
ENSP00000369513	8	L	Hs_ps13-17	PF05827.11
ENSP00000369513	20	L	Hs_ps13-17	PF05827.11
ENSP00000369513	2	L	Hs_ps13-17	PF05827.11
ENSP00000369513	15	L	Hs_ps13-17	PF05827.11
ENSP00000369513	8	L	Hs_ps13-17	PF05827.11
ENSP00000369513	2	L	Hs_ps13-17	PF05827.11
ENSP00000343314	3	E	Hs_ps13-17	PF02038.15
ENSP00000343314	19	H	Hs_ps13-17	PF02038.15
ENSP00000343314	3	L	Hs_ps13-17	PF02038.15
ENSP00000260442	20	H	Hs_ps13-17	PF00452.18
ENSP00000260442	14	H	Hs_ps13-17	PF00452.18
ENSP00000260442	21	H	Hs_ps13-17	PF00452.18
ENSP00000260442	8	H	Hs_ps13-17	PF00452.18
ENSP00000260442	5	L	Hs_ps13-17	PF00452.18
ENSP00000260442	6	L	Hs_ps13-17	PF00452.18
ENSP00000260442	10	L	Hs_ps13-17	PF00452.18
ENSP00000260442	2	L	Hs_ps13-17	PF00452.18
ENSP00000309103	7	H	Hs_ps13-17	PF10514.8
ENSP00000309103	5	H	Hs_ps13-17	PF10514.8
ENSP00000309103	4	H	Hs_ps13-17	PF10514.8
ENSP00000309103	1	L	Hs_ps13-17	PF10514.8
ENSP00000309103	2	L	Hs_ps13-17	PF10514.8
ENSP00000309103	24	L	Hs_ps13-17	PF10514.8
ENSP00000473842	2	E	Hs_ps13-17	PF06407.10
ENSP00000473842	3	E	Hs_ps13-17	PF06407.10
ENSP00000473842	2	E	Hs_ps13-17	PF06407.10
ENSP00000473842	7	E	Hs_ps13-17	PF06407.10
ENSP00000473842	9	E	Hs_ps13-17	PF06407.10
ENSP00000473842	5	E	Hs_ps13-17	PF06407.10
ENSP00000473842	11	H	Hs_ps13-17	PF06407.10
ENSP00000473842	4	H	Hs_ps13-17	PF06407.10
ENSP00000473842	17	H	Hs_ps13-17	PF06407.10
ENSP00000473842	15	H	Hs_ps13-17	PF06407.10
ENSP00000473842	3	H	Hs_ps13-17	PF06407.10
ENSP00000473842	15	H	Hs_ps13-17	PF06407.10
ENSP00000473842	6	H	Hs_ps13-17	PF06407.10
ENSP00000473842	8	H	Hs_ps13-17	PF06407.10
ENSP00000473842	10	H	Hs_ps13-17	PF06407.10
ENSP00000473842	32	H	Hs_ps13-17	PF06407.10
ENSP00000473842	29	H	Hs_ps13-17	PF06407.10
ENSP00000473842	3	H	Hs_ps13-17	PF06407.10
ENSP00000473842	14	H	Hs_ps13-17	PF06407.10
ENSP00000473842	3	L	Hs_ps13-17	PF06407.10
ENSP00000473842	14	L	Hs_ps13-17	PF06407.10
ENSP00000473842	2	L	Hs_ps13-17	PF06407.10
ENSP00000473842	4	L	Hs_ps13-17	PF06407.10
ENSP00000473842	3	L	Hs_ps13-17	PF06407.10
ENSP00000473842	4	L	Hs_ps13-17	PF06407.10
ENSP00000473842	6	L	Hs_ps13-17	PF06407.10
ENSP00000473842	7	L	Hs_ps13-17	PF06407.10
ENSP00000473842	4	L	Hs_ps13-17	PF06407.10
ENSP00000473842	2	L	Hs_ps13-17	PF06407.10
ENSP00000473842	8	L	Hs_ps13-17	PF06407.10
ENSP00000473842	3	L	Hs_ps13-17	PF06407.10
ENSP00000473842	3	L	Hs_ps13-17	PF06407.10
ENSP00000473842	6	L	Hs_ps13-17	PF06407.10
ENSP00000473842	7	L	Hs_ps13-17	PF06407.10
ENSP00000473842	5	L	Hs_ps13-17	PF06407.10
ENSP00000473842	6	L	Hs_ps13-17	PF06407.10
ENSP00000473842	19	L	Hs_ps13-17	PF06407.10
ENSP00000432104	2	E	Hs_ps13-17	PF06407.10
ENSP00000432104	4	E	Hs_ps13-17	PF06407.10
ENSP00000432104	5	E	Hs_ps13-17	PF06407.10
ENSP00000432104	11	H	Hs_ps13-17	PF06407.10
ENSP00000432104	3	H	Hs_ps13-17	PF06407.10
ENSP00000432104	19	H	Hs_ps13-17	PF06407.10
ENSP00000432104	19	H	Hs_ps13-17	PF06407.10
ENSP00000432104	22	H	Hs_ps13-17	PF06407.10
ENSP00000432104	10	H	Hs_ps13-17	PF06407.10
ENSP00000432104	8	H	Hs_ps13-17	PF06407.10
ENSP00000432104	11	H	Hs_ps13-17	PF06407.10
ENSP00000432104	20	L	Hs_ps13-17	PF06407.10
ENSP00000432104	3	L	Hs_ps13-17	PF06407.10
ENSP00000432104	7	L	Hs_ps13-17	PF06407.10
ENSP00000432104	7	L	Hs_ps13-17	PF06407.10
ENSP00000432104	18	L	Hs_ps13-17	PF06407.10
ENSP00000432104	2	L	Hs_ps13-17	PF06407.10
ENSP00000432104	5	L	Hs_ps13-17	PF06407.10
ENSP00000432104	2	L	Hs_ps13-17	PF06407.10
ENSP00000432104	3	L	Hs_ps13-17	PF06407.10
ENSP00000432104	6	L	Hs_ps13-17	PF06407.10
ENSP00000318822	14	H	Hs_ps13-17	PF06393.10
ENSP00000318822	11	H	Hs_ps13-17	PF06393.10
ENSP00000318822	3	H	Hs_ps13-17	PF06393.10
ENSP00000318822	17	H	Hs_ps13-17	PF06393.10
ENSP00000318822	3	H	Hs_ps13-17	PF06393.10
ENSP00000318822	13	H	Hs_ps13-17	PF06393.10
ENSP00000318822	18	H	Hs_ps13-17	PF06393.10
ENSP00000318822	19	H	Hs_ps13-17	PF06393.10
ENSP00000318822	4	L	Hs_ps13-17	PF06393.10
ENSP00000318822	13	L	Hs_ps13-17	PF06393.10
ENSP00000318822	19	L	Hs_ps13-17	PF06393.10
ENSP00000318822	2	L	Hs_ps13-17	PF06393.10
ENSP00000318822	4	L	Hs_ps13-17	PF06393.10
ENSP00000318822	4	L	Hs_ps13-17	PF06393.10
ENSP00000318822	4	L	Hs_ps13-17	PF06393.10
ENSP00000318822	3	L	Hs_ps13-17	PF06393.10
ENSP00000227525	11	H	Hs_ps13-17	PF14965.5
ENSP00000227525	40	H	Hs_ps13-17	PF14965.5
ENSP00000227525	7	H	Hs_ps13-17	PF14965.5
ENSP00000227525	52	H	Hs_ps13-17	PF14965.5
ENSP00000227525	19	H	Hs_ps13-17	PF14965.5
ENSP00000227525	2	L	Hs_ps13-17	PF14965.5
ENSP00000227525	3	L	Hs_ps13-17	PF14965.5
ENSP00000227525	5	L	Hs_ps13-17	PF14965.5
ENSP00000227525	4	L	Hs_ps13-17	PF14965.5
ENSP00000227525	9	L	Hs_ps13-17	PF14965.5
ENSP00000367172	5	E	Hs_ps13-17	PF04089.13
ENSP00000367172	6	E	Hs_ps13-17	PF04089.13
ENSP00000367172	6	E	Hs_ps13-17	PF04089.13
ENSP00000367172	6	E	Hs_ps13-17	PF04089.13
ENSP00000367172	12	H	Hs_ps13-17	PF04089.13
ENSP00000367172	12	H	Hs_ps13-17	PF04089.13
ENSP00000367172	4	L	Hs_ps13-17	PF04089.13
ENSP00000367172	4	L	Hs_ps13-17	PF04089.13
ENSP00000367172	8	L	Hs_ps13-17	PF04089.13
ENSP00000367172	12	L	Hs_ps13-17	PF04089.13
ENSP00000367172	7	L	Hs_ps13-17	PF04089.13
ENSP00000367172	5	L	Hs_ps13-17	PF04089.13
ENSP00000329292	5	E	Hs_ps13-17	PF04089.13
ENSP00000329292	6	E	Hs_ps13-17	PF04089.13
ENSP00000329292	6	E	Hs_ps13-17	PF04089.13
ENSP00000329292	6	E	Hs_ps13-17	PF04089.13
ENSP00000329292	13	H	Hs_ps13-17	PF04089.13
ENSP00000329292	12	H	Hs_ps13-17	PF04089.13
ENSP00000329292	4	L	Hs_ps13-17	PF04089.13
ENSP00000329292	4	L	Hs_ps13-17	PF04089.13
ENSP00000329292	8	L	Hs_ps13-17	PF04089.13
ENSP00000329292	10	L	Hs_ps13-17	PF04089.13
ENSP00000329292	9	L	Hs_ps13-17	PF04089.13
ENSP00000329292	5	L	Hs_ps13-17	PF04089.13
ENSP00000316152	6	E	Hs_ps13-17	PF04089.13
ENSP00000316152	6	E	Hs_ps13-17	PF04089.13
ENSP00000316152	6	E	Hs_ps13-17	PF04089.13
ENSP00000316152	4	E	Hs_ps13-17	PF04089.13
ENSP00000316152	11	H	Hs_ps13-17	PF04089.13
ENSP00000316152	4	L	Hs_ps13-17	PF04089.13
ENSP00000316152	4	L	Hs_ps13-17	PF04089.13
ENSP00000316152	8	L	Hs_ps13-17	PF04089.13
ENSP00000316152	17	L	Hs_ps13-17	PF04089.13
ENSP00000316152	12	L	Hs_ps13-17	PF04089.13
ENSP00000455052	5	E	Hs_ps13-17	PF04089.13
ENSP00000455052	6	E	Hs_ps13-17	PF04089.13
ENSP00000455052	6	E	Hs_ps13-17	PF04089.13
ENSP00000455052	6	E	Hs_ps13-17	PF04089.13
ENSP00000455052	11	H	Hs_ps13-17	PF04089.13
ENSP00000455052	12	H	Hs_ps13-17	PF04089.13
ENSP00000455052	4	L	Hs_ps13-17	PF04089.13
ENSP00000455052	4	L	Hs_ps13-17	PF04089.13
ENSP00000455052	8	L	Hs_ps13-17	PF04089.13
ENSP00000455052	12	L	Hs_ps13-17	PF04089.13
ENSP00000455052	7	L	Hs_ps13-17	PF04089.13
ENSP00000455052	5	L	Hs_ps13-17	PF04089.13
ENSP00000226284	1	H	Hs_ps13-17	PF05432.10
ENSP00000226284	6	H	Hs_ps13-17	PF05432.10
ENSP00000226284	1	L	Hs_ps13-17	PF05432.10
ENSP00000226284	270	L	Hs_ps13-17	PF05432.10
ENSP00000484302	7	E	Hs_ps13-17	PF08205.11
ENSP00000484302	5	E	Hs_ps13-17	PF08205.11
ENSP00000484302	2	E	Hs_ps13-17	PF08205.11
ENSP00000484302	7	L	Hs_ps13-17	PF08205.11
ENSP00000484302	16	L	Hs_ps13-17	PF08205.11
ENSP00000484302	5	L	Hs_ps13-17	PF08205.11
ENSP00000364219	10	E	Hs_ps13-17	PF15170.5
ENSP00000364219	2	E	Hs_ps13-17	PF15170.5
ENSP00000364219	7	E	Hs_ps13-17	PF15170.5
ENSP00000364219	18	L	Hs_ps13-17	PF15170.5
ENSP00000364219	3	L	Hs_ps13-17	PF15170.5
ENSP00000364219	2	L	Hs_ps13-17	PF15170.5
ENSP00000296238	8	E	Hs_ps13-17	PF15170.5
ENSP00000296238	7	E	Hs_ps13-17	PF15170.5
ENSP00000296238	24	L	Hs_ps13-17	PF15170.5
ENSP00000296238	2	L	Hs_ps13-17	PF15170.5
ENSP00000296435	9	E	Hs_ps13-17	PF00666.16
ENSP00000296435	12	E	Hs_ps13-17	PF00666.16
ENSP00000296435	10	E	Hs_ps13-17	PF00666.16
ENSP00000296435	13	H	Hs_ps13-17	PF00666.16
ENSP00000296435	7	L	Hs_ps13-17	PF00666.16
ENSP00000296435	10	L	Hs_ps13-17	PF00666.16
ENSP00000296435	19	L	Hs_ps13-17	PF00666.16
ENSP00000296435	5	L	Hs_ps13-17	PF00666.16
ENSP00000309681	4	E	Hs_ps13-17	PF15794.4
ENSP00000309681	44	H	Hs_ps13-17	PF15794.4
ENSP00000309681	6	H	Hs_ps13-17	PF15794.4
ENSP00000309681	4	H	Hs_ps13-17	PF15794.4
ENSP00000309681	6	H	Hs_ps13-17	PF15794.4
ENSP00000309681	27	H	Hs_ps13-17	PF15794.4
ENSP00000309681	4	H	Hs_ps13-17	PF15794.4
ENSP00000309681	7	H	Hs_ps13-17	PF15794.4
ENSP00000309681	14	H	Hs_ps13-17	PF15794.4
ENSP00000309681	12	H	Hs_ps13-17	PF15794.4
ENSP00000309681	50	L	Hs_ps13-17	PF15794.4
ENSP00000309681	5	L	Hs_ps13-17	PF15794.4
ENSP00000309681	5	L	Hs_ps13-17	PF15794.4
ENSP00000309681	3	L	Hs_ps13-17	PF15794.4
ENSP00000309681	12	L	Hs_ps13-17	PF15794.4
ENSP00000309681	1	L	Hs_ps13-17	PF15794.4
ENSP00000309681	6	L	Hs_ps13-17	PF15794.4
ENSP00000309681	2	L	Hs_ps13-17	PF15794.4
ENSP00000309681	7	L	Hs_ps13-17	PF15794.4
ENSP00000351727	7	E	Hs_ps13-17	PF15482.5
ENSP00000351727	4	E	Hs_ps13-17	PF15482.5
ENSP00000351727	5	L	Hs_ps13-17	PF15482.5
ENSP00000351727	68	L	Hs_ps13-17	PF15482.5
ENSP00000314620	3	E	Hs_ps13-17	PF04103.14
ENSP00000314620	5	E	Hs_ps13-17	PF04103.14
ENSP00000314620	5	E	Hs_ps13-17	PF04103.14
ENSP00000314620	4	E	Hs_ps13-17	PF04103.14
ENSP00000314620	20	H	Hs_ps13-17	PF04103.14
ENSP00000314620	8	H	Hs_ps13-17	PF04103.14
ENSP00000314620	3	H	Hs_ps13-17	PF04103.14
ENSP00000314620	26	H	Hs_ps13-17	PF04103.14
ENSP00000314620	5	L	Hs_ps13-17	PF04103.14
ENSP00000314620	4	L	Hs_ps13-17	PF04103.14
ENSP00000314620	1	L	Hs_ps13-17	PF04103.14
ENSP00000314620	6	L	Hs_ps13-17	PF04103.14
ENSP00000314620	41	L	Hs_ps13-17	PF04103.14
ENSP00000300184	5	E	Hs_ps13-17	PF04103.14
ENSP00000300184	5	E	Hs_ps13-17	PF04103.14
ENSP00000300184	4	E	Hs_ps13-17	PF04103.14
ENSP00000300184	4	E	Hs_ps13-17	PF04103.14
ENSP00000300184	20	H	Hs_ps13-17	PF04103.14
ENSP00000300184	13	H	Hs_ps13-17	PF04103.14
ENSP00000300184	26	H	Hs_ps13-17	PF04103.14
ENSP00000300184	33	H	Hs_ps13-17	PF04103.14
ENSP00000300184	8	L	Hs_ps13-17	PF04103.14
ENSP00000300184	4	L	Hs_ps13-17	PF04103.14
ENSP00000300184	7	L	Hs_ps13-17	PF04103.14
ENSP00000300184	30	L	Hs_ps13-17	PF04103.14
ENSP00000278865	7	E	Hs_ps13-17	PF04103.14
ENSP00000278865	4	E	Hs_ps13-17	PF04103.14
ENSP00000278865	3	E	Hs_ps13-17	PF04103.14
ENSP00000278865	22	H	Hs_ps13-17	PF04103.14
ENSP00000278865	13	H	Hs_ps13-17	PF04103.14
ENSP00000278865	26	H	Hs_ps13-17	PF04103.14
ENSP00000278865	10	L	Hs_ps13-17	PF04103.14
ENSP00000278865	4	L	Hs_ps13-17	PF04103.14
