protein	number_letter	length	group	letter
ENSP00000417250	40	368	Hs_ps1-2	E
ENSP00000417250	137	368	Hs_ps1-2	H
ENSP00000417250	191	368	Hs_ps1-2	L
vdp2013_S4_239	0	0	Hs_ps31	E
vdp2013_S4_239	0	0	Hs_ps31	H
vdp2013_S4_239	0	0	Hs_ps31	L
None_protein318555	3	40	Hs_igen	E
None_protein318555	32	40	Hs_igen	H
None_protein318555	5	40	Hs_igen	L
ENSP00000376215	30	207	Hs_ps1-2	E
ENSP00000376215	52	207	Hs_ps1-2	H
ENSP00000376215	125	207	Hs_ps1-2	L
ENSP00000482001	0	565	Hs_ps13-17	E
ENSP00000482001	266	565	Hs_ps13-17	H
ENSP00000482001	299	565	Hs_ps13-17	L
None_protein484894	0	40	Hs_igen	E
None_protein484894	7	40	Hs_igen	H
None_protein484894	33	40	Hs_igen	L
Hs_rnd_gnm10_652763	27	49	Hs_rand	E
Hs_rnd_gnm10_652763	0	49	Hs_rand	H
Hs_rnd_gnm10_652763	22	49	Hs_rand	L
ENSP00000330523	50	243	Hs_ps1-2	E
ENSP00000330523	0	243	Hs_ps1-2	H
ENSP00000330523	193	243	Hs_ps1-2	L
Hs_rnd_gnm3_1020157	47	148	Hs_rand	E
Hs_rnd_gnm3_1020157	33	148	Hs_rand	H
Hs_rnd_gnm3_1020157	68	148	Hs_rand	L
ENSP00000333725	21	533	Hs_ps1-2	E
ENSP00000333725	117	533	Hs_ps1-2	H
ENSP00000333725	395	533	Hs_ps1-2	L
Raj_Hs_494	18	80	Hs_ps31	E
Raj_Hs_494	23	80	Hs_ps31	H
Raj_Hs_494	39	80	Hs_ps31	L
vdp2013_S4_908	0	46	Hs_ps31	E
vdp2013_S4_908	32	46	Hs_ps31	H
vdp2013_S4_908	14	46	Hs_ps31	L
vdp2013_S4_909	5	40	Hs_ps31	E
vdp2013_S4_909	15	40	Hs_ps31	H
vdp2013_S4_909	20	40	Hs_ps31	L
vdp2013_S4_905	40	88	Hs_ps20-21	E
vdp2013_S4_905	0	88	Hs_ps20-21	H
vdp2013_S4_905	48	88	Hs_ps20-21	L
ENSP00000296444	23	240	Hs_ps13-17	E
ENSP00000296444	16	240	Hs_ps13-17	H
ENSP00000296444	201	240	Hs_ps13-17	L
vdp2013_S4_907	3	54	Hs_ps31	E
vdp2013_S4_907	28	54	Hs_ps31	H
vdp2013_S4_907	23	54	Hs_ps31	L
vdp2013_S4_900	2	43	Hs_ps31	E
vdp2013_S4_900	16	43	Hs_ps31	H
vdp2013_S4_900	25	43	Hs_ps31	L
vdp2013_S4_901	0	42	Hs_ps31	E
vdp2013_S4_901	36	42	Hs_ps31	H
vdp2013_S4_901	6	42	Hs_ps31	L
vdp2013_S4_902	0	71	Hs_ps31	E
vdp2013_S4_902	24	71	Hs_ps31	H
vdp2013_S4_902	47	71	Hs_ps31	L
Raj_Hs_2963	4	55	Hs_ps31	E
Raj_Hs_2963	26	55	Hs_ps31	H
Raj_Hs_2963	25	55	Hs_ps31	L
ENSP00000366190	0	212	Hs_ps1-2	E
ENSP00000366190	61	212	Hs_ps1-2	H
ENSP00000366190	151	212	Hs_ps1-2	L
Hs_rnd_gnm5_1209748	38	59	Hs_rand	E
Hs_rnd_gnm5_1209748	0	59	Hs_rand	H
Hs_rnd_gnm5_1209748	21	59	Hs_rand	L
ENSP00000353048	79	557	Hs_ps1-2	E
ENSP00000353048	259	557	Hs_ps1-2	H
ENSP00000353048	219	557	Hs_ps1-2	L
Hs_rnd_gnm2_492494	5	55	Hs_rand	E
Hs_rnd_gnm2_492494	38	55	Hs_rand	H
Hs_rnd_gnm2_492494	12	55	Hs_rand	L
None_protein711262	6	56	Hs_igen	E
None_protein711262	19	56	Hs_igen	H
None_protein711262	31	56	Hs_igen	L
None_protein550542	14	45	Hs_igen	E
None_protein550542	13	45	Hs_igen	H
None_protein550542	18	45	Hs_igen	L
None_protein571453	0	45	Hs_igen	E
None_protein571453	32	45	Hs_igen	H
None_protein571453	13	45	Hs_igen	L
ENSP00000341282	0	351	Hs_ps13-17	E
ENSP00000341282	348	351	Hs_ps13-17	H
ENSP00000341282	3	351	Hs_ps13-17	L
ENSP00000314480	6	531	Hs_ps1-2	E
ENSP00000314480	30	531	Hs_ps1-2	H
ENSP00000314480	495	531	Hs_ps1-2	L
None_protein911449	3	56	Hs_igen	E
None_protein911449	37	56	Hs_igen	H
None_protein911449	16	56	Hs_igen	L
Hs_rnd_gnm5_1286392	10	68	Hs_rand	E
Hs_rnd_gnm5_1286392	11	68	Hs_rand	H
Hs_rnd_gnm5_1286392	47	68	Hs_rand	L
Hs_rnd_gnm2_1033104	9	54	Hs_rand	E
Hs_rnd_gnm2_1033104	0	54	Hs_rand	H
Hs_rnd_gnm2_1033104	45	54	Hs_rand	L
ENSP00000251241	105	779	Hs_ps1-2	E
ENSP00000251241	345	779	Hs_ps1-2	H
ENSP00000251241	329	779	Hs_ps1-2	L
None_protein430528	36	112	Hs_igen	E
None_protein430528	27	112	Hs_igen	H
None_protein430528	49	112	Hs_igen	L
ENSP00000232978	65	1462	Hs_ps1-2	E
ENSP00000232978	72	1462	Hs_ps1-2	H
ENSP00000232978	1325	1462	Hs_ps1-2	L
None_protein767699	7	58	Hs_igen	E
None_protein767699	32	58	Hs_igen	H
None_protein767699	19	58	Hs_igen	L
Hs_rnd_gnm7_1112640	37	98	Hs_rand	E
Hs_rnd_gnm7_1112640	19	98	Hs_rand	H
Hs_rnd_gnm7_1112640	42	98	Hs_rand	L
ENSP00000472160	22	148	Hs_ps13-17	E
ENSP00000472160	40	148	Hs_ps13-17	H
ENSP00000472160	86	148	Hs_ps13-17	L
None_protein1016682	9	42	Hs_igen	E
None_protein1016682	6	42	Hs_igen	H
None_protein1016682	27	42	Hs_igen	L
None_protein854074	10	112	Hs_igen	E
None_protein854074	0	112	Hs_igen	H
None_protein854074	102	112	Hs_igen	L
ENSP00000485524	5	161	Hs_ps13-17	E
ENSP00000485524	48	161	Hs_ps13-17	H
ENSP00000485524	108	161	Hs_ps13-17	L
Hs_rnd_gnm10_61249	4	47	Hs_rand	E
Hs_rnd_gnm10_61249	28	47	Hs_rand	H
Hs_rnd_gnm10_61249	15	47	Hs_rand	L
ENSP00000450581	0	62	Hs_ps20-21	E
ENSP00000450581	26	62	Hs_ps20-21	H
ENSP00000450581	36	62	Hs_ps20-21	L
ENSP00000422769	2	163	Hs_ps31	E
ENSP00000422769	0	163	Hs_ps31	H
ENSP00000422769	161	163	Hs_ps31	L
None_protein1043737	0	77	Hs_igen	E
None_protein1043737	40	77	Hs_igen	H
None_protein1043737	37	77	Hs_igen	L
ENSP00000480158	328	1980	Hs_ps1-2	E
ENSP00000480158	420	1980	Hs_ps1-2	H
ENSP00000480158	1232	1980	Hs_ps1-2	L
ENSP00000262518	187	3230	Hs_ps1-2	E
ENSP00000262518	628	3230	Hs_ps1-2	H
ENSP00000262518	2415	3230	Hs_ps1-2	L
Hs_JP201901_46	34	73	Hs_ps31	E
Hs_JP201901_46	0	73	Hs_ps31	H
Hs_JP201901_46	39	73	Hs_ps31	L
None_protein165760	5	40	Hs_igen	E
None_protein165760	0	40	Hs_igen	H
None_protein165760	35	40	Hs_igen	L
None_protein939680	17	93	Hs_igen	E
None_protein939680	31	93	Hs_igen	H
None_protein939680	45	93	Hs_igen	L
ENSP00000378517	7	314	Hs_ps13-17	E
ENSP00000378517	13	314	Hs_ps13-17	H
ENSP00000378517	294	314	Hs_ps13-17	L
None_protein747970	11	99	Hs_igen	E
None_protein747970	13	99	Hs_igen	H
None_protein747970	75	99	Hs_igen	L
None_protein1132929	4	43	Hs_igen	E
None_protein1132929	13	43	Hs_igen	H
None_protein1132929	26	43	Hs_igen	L
Hs_rnd_gnm3_974994	16	123	Hs_rand	E
Hs_rnd_gnm3_974994	61	123	Hs_rand	H
Hs_rnd_gnm3_974994	46	123	Hs_rand	L
None_protein1127914	16	53	Hs_igen	E
None_protein1127914	26	53	Hs_igen	H
None_protein1127914	11	53	Hs_igen	L
Baz_Hs_158	27	65	Hs_ps31	E
Baz_Hs_158	3	65	Hs_ps31	H
Baz_Hs_158	35	65	Hs_ps31	L
Baz_Hs_155	12	70	Hs_ps13-17	E
Baz_Hs_155	24	70	Hs_ps13-17	H
Baz_Hs_155	34	70	Hs_ps13-17	L
Hs_rnd_gnm9_1165709	44	95	Hs_rand	E
Hs_rnd_gnm9_1165709	0	95	Hs_rand	H
Hs_rnd_gnm9_1165709	51	95	Hs_rand	L
ENSP00000383938	21	402	Hs_ps1-2	E
ENSP00000383938	9	402	Hs_ps1-2	H
ENSP00000383938	372	402	Hs_ps1-2	L
None_protein459014	14	80	Hs_igen	E
None_protein459014	36	80	Hs_igen	H
None_protein459014	30	80	Hs_igen	L
ENSP00000289359	35	249	Hs_ps1-2	E
ENSP00000289359	110	249	Hs_ps1-2	H
ENSP00000289359	104	249	Hs_ps1-2	L
Hs_rnd_gnm9_907692	29	140	Hs_rand	E
Hs_rnd_gnm9_907692	27	140	Hs_rand	H
Hs_rnd_gnm9_907692	84	140	Hs_rand	L
None_protein1102145	12	57	Hs_igen	E
None_protein1102145	13	57	Hs_igen	H
None_protein1102145	32	57	Hs_igen	L
ENSP00000476267	119	345	Hs_ps1-2	E
ENSP00000476267	84	345	Hs_ps1-2	H
ENSP00000476267	142	345	Hs_ps1-2	L
None_protein683489	3	74	Hs_igen	E
None_protein683489	15	74	Hs_igen	H
None_protein683489	56	74	Hs_igen	L
ENSP00000325875	110	724	Hs_ps1-2	E
ENSP00000325875	315	724	Hs_ps1-2	H
ENSP00000325875	299	724	Hs_ps1-2	L
None_protein936428	0	51	Hs_igen	E
None_protein936428	46	51	Hs_igen	H
None_protein936428	5	51	Hs_igen	L
Hs_rnd_gnm9_619527	10	54	Hs_rand	E
Hs_rnd_gnm9_619527	10	54	Hs_rand	H
Hs_rnd_gnm9_619527	34	54	Hs_rand	L
ENSP00000396722	192	355	Hs_ps1-2	E
ENSP00000396722	0	355	Hs_ps1-2	H
ENSP00000396722	163	355	Hs_ps1-2	L
None_protein245442	10	63	Hs_igen	E
None_protein245442	15	63	Hs_igen	H
None_protein245442	38	63	Hs_igen	L
None_protein338073	8	87	Hs_igen	E
None_protein338073	27	87	Hs_igen	H
None_protein338073	52	87	Hs_igen	L
Raj_Hs_3144	17	103	Hs_ps31	E
Raj_Hs_3144	32	103	Hs_ps31	H
Raj_Hs_3144	54	103	Hs_ps31	L
None_protein297972	12	127	Hs_igen	E
None_protein297972	49	127	Hs_igen	H
None_protein297972	66	127	Hs_igen	L
Hs_rnd_gnm8_197683	2	40	Hs_rand	E
Hs_rnd_gnm8_197683	10	40	Hs_rand	H
Hs_rnd_gnm8_197683	28	40	Hs_rand	L
Hs_rnd_gnm8_1018474	22	76	Hs_rand	E
Hs_rnd_gnm8_1018474	17	76	Hs_rand	H
Hs_rnd_gnm8_1018474	37	76	Hs_rand	L
ENSP00000281513	190	2371	Hs_ps1-2	E
ENSP00000281513	1190	2371	Hs_ps1-2	H
ENSP00000281513	991	2371	Hs_ps1-2	L
Hs_rnd_gnm6_749991	31	89	Hs_rand	E
Hs_rnd_gnm6_749991	7	89	Hs_rand	H
Hs_rnd_gnm6_749991	51	89	Hs_rand	L
None_protein531057	0	51	Hs_igen	E
None_protein531057	43	51	Hs_igen	H
None_protein531057	8	51	Hs_igen	L
ENSP00000326119	0	54	Hs_ps13-17	E
ENSP00000326119	28	54	Hs_ps13-17	H
ENSP00000326119	26	54	Hs_ps13-17	L
ENSP00000277982	64	1151	Hs_ps1-2	E
ENSP00000277982	0	1151	Hs_ps1-2	H
ENSP00000277982	1087	1151	Hs_ps1-2	L
Hs_rnd_gnm1_1063387	23	110	Hs_rand	E
Hs_rnd_gnm1_1063387	16	110	Hs_rand	H
Hs_rnd_gnm1_1063387	71	110	Hs_rand	L
ENSP00000490418	5	55	Hs_ps20-21	E
ENSP00000490418	19	55	Hs_ps20-21	H
ENSP00000490418	31	55	Hs_ps20-21	L
Hs_rnd_gnm1_1156574	32	116	Hs_rand	E
Hs_rnd_gnm1_1156574	29	116	Hs_rand	H
Hs_rnd_gnm1_1156574	55	116	Hs_rand	L
ENSP00000480333	40	1262	Hs_ps1-2	E
ENSP00000480333	28	1262	Hs_ps1-2	H
ENSP00000480333	1194	1262	Hs_ps1-2	L
ENSP00000328307	4	645	Hs_ps1-2	E
ENSP00000328307	25	645	Hs_ps1-2	H
ENSP00000328307	616	645	Hs_ps1-2	L
ENSP00000328420	73	157	Hs_ps13-17	E
ENSP00000328420	0	157	Hs_ps13-17	H
ENSP00000328420	84	157	Hs_ps13-17	L
None_protein205398	0	43	Hs_igen	E
None_protein205398	35	43	Hs_igen	H
None_protein205398	8	43	Hs_igen	L
None_protein306671	28	63	Hs_igen	E
None_protein306671	0	63	Hs_igen	H
None_protein306671	35	63	Hs_igen	L
None_protein1046860	11	47	Hs_igen	E
None_protein1046860	7	47	Hs_igen	H
None_protein1046860	29	47	Hs_igen	L
ENSP00000454770	0	251	Hs_ps1-2	E
ENSP00000454770	124	251	Hs_ps1-2	H
ENSP00000454770	127	251	Hs_ps1-2	L
ENSP00000365261	8	104	Hs_ps20-21	E
ENSP00000365261	43	104	Hs_ps20-21	H
ENSP00000365261	53	104	Hs_ps20-21	L
None_protein118070	18	63	Hs_igen	E
None_protein118070	0	63	Hs_igen	H
None_protein118070	45	63	Hs_igen	L
Hs_rnd_gnm6_919225	19	63	Hs_rand	E
Hs_rnd_gnm6_919225	0	63	Hs_rand	H
Hs_rnd_gnm6_919225	44	63	Hs_rand	L
Hs_rnd_gnm7_1111020	5	47	Hs_rand	E
Hs_rnd_gnm7_1111020	6	47	Hs_rand	H
Hs_rnd_gnm7_1111020	36	47	Hs_rand	L
Hs_rnd_gnm2_191771	0	44	Hs_rand	E
Hs_rnd_gnm2_191771	36	44	Hs_rand	H
Hs_rnd_gnm2_191771	8	44	Hs_rand	L
ENSP00000400669	0	449	Hs_ps1-2	E
ENSP00000400669	419	449	Hs_ps1-2	H
ENSP00000400669	30	449	Hs_ps1-2	L
Hs_rnd_gnm2_79341	9	47	Hs_rand	E
Hs_rnd_gnm2_79341	7	47	Hs_rand	H
Hs_rnd_gnm2_79341	31	47	Hs_rand	L
ENSP00000362273	3	363	Hs_ps1-2	E
ENSP00000362273	205	363	Hs_ps1-2	H
ENSP00000362273	155	363	Hs_ps1-2	L
ENSP00000263269	124	1336	Hs_ps1-2	E
ENSP00000263269	298	1336	Hs_ps1-2	H
ENSP00000263269	914	1336	Hs_ps1-2	L
ENSP00000440864	12	652	Hs_ps1-2	E
ENSP00000440864	156	652	Hs_ps1-2	H
ENSP00000440864	484	652	Hs_ps1-2	L
Hs_rnd_gnm7_235873	10	41	Hs_rand	E
Hs_rnd_gnm7_235873	14	41	Hs_rand	H
Hs_rnd_gnm7_235873	17	41	Hs_rand	L
ENSP00000415662	0	164	Hs_ps1-2	E
ENSP00000415662	99	164	Hs_ps1-2	H
ENSP00000415662	65	164	Hs_ps1-2	L
Hs_rnd_gnm2_577016	9	47	Hs_rand	E
Hs_rnd_gnm2_577016	10	47	Hs_rand	H
Hs_rnd_gnm2_577016	28	47	Hs_rand	L
Hs_rnd_gnm3_651089	10	46	Hs_rand	E
Hs_rnd_gnm3_651089	18	46	Hs_rand	H
Hs_rnd_gnm3_651089	18	46	Hs_rand	L
None_protein214743	52	130	Hs_igen	E
None_protein214743	3	130	Hs_igen	H
None_protein214743	75	130	Hs_igen	L
Raj_Hs_2817	2	46	Hs_ps20-21	E
Raj_Hs_2817	0	46	Hs_ps20-21	H
Raj_Hs_2817	44	46	Hs_ps20-21	L
Hs_rnd_gnm6_351720	2	43	Hs_rand	E
Hs_rnd_gnm6_351720	24	43	Hs_rand	H
Hs_rnd_gnm6_351720	17	43	Hs_rand	L
Hs_rnd_gnm5_996749	15	126	Hs_rand	E
Hs_rnd_gnm5_996749	58	126	Hs_rand	H
Hs_rnd_gnm5_996749	53	126	Hs_rand	L
Hs_rnd_gnm8_1208544	12	101	Hs_rand	E
Hs_rnd_gnm8_1208544	41	101	Hs_rand	H
Hs_rnd_gnm8_1208544	48	101	Hs_rand	L
None_protein660268	14	70	Hs_igen	E
None_protein660268	10	70	Hs_igen	H
None_protein660268	46	70	Hs_igen	L
Hs_rnd_gnm2_807537	9	55	Hs_rand	E
Hs_rnd_gnm2_807537	24	55	Hs_rand	H
Hs_rnd_gnm2_807537	22	55	Hs_rand	L
Hs_rnd_gnm9_1069588	52	186	Hs_rand	E
Hs_rnd_gnm9_1069588	30	186	Hs_rand	H
Hs_rnd_gnm9_1069588	104	186	Hs_rand	L
Hs_rnd_gnm7_361135	18	73	Hs_rand	E
Hs_rnd_gnm7_361135	21	73	Hs_rand	H
Hs_rnd_gnm7_361135	34	73	Hs_rand	L
None_protein1086249	8	42	Hs_igen	E
None_protein1086249	0	42	Hs_igen	H
None_protein1086249	34	42	Hs_igen	L
None_protein951092	22	73	Hs_igen	E
None_protein951092	24	73	Hs_igen	H
None_protein951092	27	73	Hs_igen	L
ENSP00000286424	0	285	Hs_ps1-2	E
ENSP00000286424	196	285	Hs_ps1-2	H
ENSP00000286424	89	285	Hs_ps1-2	L
ENSP00000387307	59	254	Hs_ps1-2	E
ENSP00000387307	63	254	Hs_ps1-2	H
ENSP00000387307	132	254	Hs_ps1-2	L
vdp2013_S4_225	13	57	Hs_ps31	E
vdp2013_S4_225	5	57	Hs_ps31	H
vdp2013_S4_225	39	57	Hs_ps31	L
vdp2013_S4_224	21	164	Hs_ps31	E
vdp2013_S4_224	4	164	Hs_ps31	H
vdp2013_S4_224	139	164	Hs_ps31	L
vdp2013_S4_595	9	43	Hs_ps31	E
vdp2013_S4_595	17	43	Hs_ps31	H
vdp2013_S4_595	17	43	Hs_ps31	L
None_protein528916	11	45	Hs_igen	E
None_protein528916	13	45	Hs_igen	H
None_protein528916	21	45	Hs_igen	L
vdp2013_S4_223	0	68	Hs_ps31	E
vdp2013_S4_223	43	68	Hs_ps31	H
vdp2013_S4_223	25	68	Hs_ps31	L
vdp2013_S4_222	4	71	Hs_ps31	E
vdp2013_S4_222	15	71	Hs_ps31	H
vdp2013_S4_222	52	71	Hs_ps31	L
ENSP00000315678	111	326	Hs_ps1-2	E
ENSP00000315678	12	326	Hs_ps1-2	H
ENSP00000315678	203	326	Hs_ps1-2	L
None_protein977908	5	85	Hs_igen	E
None_protein977908	25	85	Hs_igen	H
None_protein977908	55	85	Hs_igen	L
vdp2013_S4_228	3	65	Hs_ps31	E
vdp2013_S4_228	27	65	Hs_ps31	H
vdp2013_S4_228	35	65	Hs_ps31	L
vdp2013_S4_599	29	72	Hs_ps31	E
vdp2013_S4_599	3	72	Hs_ps31	H
vdp2013_S4_599	40	72	Hs_ps31	L
vdp2013_S4_598	2	50	Hs_ps31	E
vdp2013_S4_598	8	50	Hs_ps31	H
vdp2013_S4_598	40	50	Hs_ps31	L
ENSP00000348645	242	1463	Hs_ps1-2	E
ENSP00000348645	298	1463	Hs_ps1-2	H
ENSP00000348645	923	1463	Hs_ps1-2	L
ENSP00000350221	17	1272	Hs_ps1-2	E
ENSP00000350221	837	1272	Hs_ps1-2	H
ENSP00000350221	418	1272	Hs_ps1-2	L
None_protein323738	3	70	Hs_igen	E
None_protein323738	38	70	Hs_igen	H
None_protein323738	29	70	Hs_igen	L
Hs_rnd_gnm1_513953	27	54	Hs_rand	E
Hs_rnd_gnm1_513953	5	54	Hs_rand	H
Hs_rnd_gnm1_513953	22	54	Hs_rand	L
Hs_rnd_gnm3_732360	16	43	Hs_rand	E
Hs_rnd_gnm3_732360	3	43	Hs_rand	H
Hs_rnd_gnm3_732360	24	43	Hs_rand	L
None_protein344040	16	147	Hs_igen	E
None_protein344040	20	147	Hs_igen	H
None_protein344040	111	147	Hs_igen	L
Hs_rnd_gnm7_1157261	41	138	Hs_rand	E
Hs_rnd_gnm7_1157261	0	138	Hs_rand	H
Hs_rnd_gnm7_1157261	97	138	Hs_rand	L
ENSP00000417401	492	2649	Hs_ps1-2	E
ENSP00000417401	745	2649	Hs_ps1-2	H
ENSP00000417401	1412	2649	Hs_ps1-2	L
ENSP00000321703	0	805	Hs_ps1-2	E
ENSP00000321703	206	805	Hs_ps1-2	H
ENSP00000321703	599	805	Hs_ps1-2	L
ENSP00000486197	10	145	Hs_ps20-21	E
ENSP00000486197	62	145	Hs_ps20-21	H
ENSP00000486197	73	145	Hs_ps20-21	L
ENSP00000425721	0	791	Hs_ps13-17	E
ENSP00000425721	0	791	Hs_ps13-17	H
ENSP00000425721	791	791	Hs_ps13-17	L
ENSP00000363055	0	277	Hs_ps13-17	E
ENSP00000363055	258	277	Hs_ps13-17	H
ENSP00000363055	19	277	Hs_ps13-17	L
Hs_rnd_gnm8_500981	97	195	Hs_rand	E
Hs_rnd_gnm8_500981	18	195	Hs_rand	H
Hs_rnd_gnm8_500981	80	195	Hs_rand	L
None_protein43378	22	116	Hs_igen	E
None_protein43378	34	116	Hs_igen	H
None_protein43378	60	116	Hs_igen	L
None_protein436155	12	44	Hs_igen	E
None_protein436155	11	44	Hs_igen	H
None_protein436155	21	44	Hs_igen	L
None_protein1145560	48	122	Hs_igen	E
None_protein1145560	0	122	Hs_igen	H
None_protein1145560	74	122	Hs_igen	L
Hs_rnd_gnm7_635581	21	86	Hs_rand	E
Hs_rnd_gnm7_635581	31	86	Hs_rand	H
Hs_rnd_gnm7_635581	34	86	Hs_rand	L
ENSP00000452347	33	148	Hs_ps13-17	E
ENSP00000452347	10	148	Hs_ps13-17	H
ENSP00000452347	105	148	Hs_ps13-17	L
Raj_Hs_1542	8	51	Hs_ps31	E
Raj_Hs_1542	0	51	Hs_ps31	H
Raj_Hs_1542	43	51	Hs_ps31	L
Raj_Hs_645	3	52	Hs_ps31	E
Raj_Hs_645	15	52	Hs_ps31	H
Raj_Hs_645	34	52	Hs_ps31	L
Raj_Hs_646	16	94	Hs_ps31	E
Raj_Hs_646	40	94	Hs_ps31	H
Raj_Hs_646	38	94	Hs_ps31	L
ENSP00000333003	95	352	Hs_ps1-2	E
ENSP00000333003	36	352	Hs_ps1-2	H
ENSP00000333003	221	352	Hs_ps1-2	L
None_protein336127	11	88	Hs_igen	E
None_protein336127	37	88	Hs_igen	H
None_protein336127	40	88	Hs_igen	L
ENSP00000336528	14	473	Hs_ps1-2	E
ENSP00000336528	160	473	Hs_ps1-2	H
ENSP00000336528	299	473	Hs_ps1-2	L
ENSP00000443189	7	62	Hs_ps1-2	E
ENSP00000443189	27	62	Hs_ps1-2	H
ENSP00000443189	28	62	Hs_ps1-2	L
Hs_rnd_gnm4_663508	22	100	Hs_rand	E
Hs_rnd_gnm4_663508	28	100	Hs_rand	H
Hs_rnd_gnm4_663508	50	100	Hs_rand	L
Hs_rnd_gnm1_1179004	17	71	Hs_rand	E
Hs_rnd_gnm1_1179004	9	71	Hs_rand	H
Hs_rnd_gnm1_1179004	45	71	Hs_rand	L
ENSP00000346130	8	77	Hs_ps13-17	E
ENSP00000346130	40	77	Hs_ps13-17	H
ENSP00000346130	29	77	Hs_ps13-17	L
Hs_rnd_gnm2_536605	11	57	Hs_rand	E
Hs_rnd_gnm2_536605	27	57	Hs_rand	H
Hs_rnd_gnm2_536605	19	57	Hs_rand	L
ENSP00000317128	379	1925	Hs_ps1-2	E
ENSP00000317128	340	1925	Hs_ps1-2	H
ENSP00000317128	1206	1925	Hs_ps1-2	L
Hs_rnd_gnm4_1071493	37	65	Hs_rand	E
Hs_rnd_gnm4_1071493	3	65	Hs_rand	H
Hs_rnd_gnm4_1071493	25	65	Hs_rand	L
ENSP00000232607	84	480	Hs_ps1-2	E
ENSP00000232607	213	480	Hs_ps1-2	H
ENSP00000232607	183	480	Hs_ps1-2	L
Hs_rnd_gnm4_480170	17	50	Hs_rand	E
Hs_rnd_gnm4_480170	12	50	Hs_rand	H
Hs_rnd_gnm4_480170	21	50	Hs_rand	L
Hs_rnd_gnm10_1142063	52	330	Hs_rand	E
Hs_rnd_gnm10_1142063	95	330	Hs_rand	H
Hs_rnd_gnm10_1142063	183	330	Hs_rand	L
ENSP00000317123	296	2136	Hs_ps1-2	E
ENSP00000317123	907	2136	Hs_ps1-2	H
ENSP00000317123	933	2136	Hs_ps1-2	L
None_protein698331	10	136	Hs_igen	E
None_protein698331	31	136	Hs_igen	H
