protein	number_letter	pfam_domain	domain_length	group	letter
ENSP00000316152	22	PF04089.13	98	Hs_ps13-17	E
ENSP00000316152	24	PF04089.13	98	Hs_ps13-17	H
ENSP00000316152	52	PF04089.13	98	Hs_ps13-17	L
ENSP00000455052	24	PF04089.13	91	Hs_ps13-17	E
ENSP00000455052	23	PF04089.13	91	Hs_ps13-17	H
ENSP00000455052	44	PF04089.13	91	Hs_ps13-17	L
ENSP00000226284	0	PF05432.10	297	Hs_ps13-17	E
ENSP00000226284	10	PF05432.10	297	Hs_ps13-17	H
ENSP00000226284	287	PF05432.10	297	Hs_ps13-17	L
ENSP00000447803	0	PF07716.14	48	Hs_ps13-17	E
ENSP00000447803	48	PF07716.14	48	Hs_ps13-17	H
ENSP00000447803	0	PF07716.14	48	Hs_ps13-17	L
ENSP00000484302	25	PF08205.11	59	Hs_ps13-17	E
ENSP00000484302	0	PF08205.11	59	Hs_ps13-17	H
ENSP00000484302	34	PF08205.11	59	Hs_ps13-17	L
ENSP00000425721	0	PF00748.18	132	Hs_ps13-17	E
ENSP00000425721	0	PF00748.18	132	Hs_ps13-17	H
ENSP00000425721	132	PF00748.18	132	Hs_ps13-17	L
ENSP00000425721	0	PF00748.18	126	Hs_ps13-17	E
ENSP00000425721	0	PF00748.18	126	Hs_ps13-17	H
ENSP00000425721	126	PF00748.18	126	Hs_ps13-17	L
ENSP00000425721	0	PF00748.18	130	Hs_ps13-17	E
ENSP00000425721	0	PF00748.18	130	Hs_ps13-17	H
ENSP00000425721	130	PF00748.18	130	Hs_ps13-17	L
ENSP00000425721	0	PF00748.18	124	Hs_ps13-17	E
ENSP00000425721	0	PF00748.18	124	Hs_ps13-17	H
ENSP00000425721	124	PF00748.18	124	Hs_ps13-17	L
ENSP00000364219	19	PF15170.5	77	Hs_ps13-17	E
ENSP00000364219	7	PF15170.5	77	Hs_ps13-17	H
ENSP00000364219	51	PF15170.5	77	Hs_ps13-17	L
ENSP00000296238	15	PF15170.5	78	Hs_ps13-17	E
ENSP00000296238	7	PF15170.5	78	Hs_ps13-17	H
ENSP00000296238	56	PF15170.5	78	Hs_ps13-17	L
ENSP00000296435	0	PF12153.7	27	Hs_ps13-17	E
ENSP00000296435	26	PF12153.7	27	Hs_ps13-17	H
ENSP00000296435	1	PF12153.7	27	Hs_ps13-17	L
ENSP00000296435	37	PF00666.16	99	Hs_ps13-17	E
ENSP00000296435	13	PF00666.16	99	Hs_ps13-17	H
ENSP00000296435	49	PF00666.16	99	Hs_ps13-17	L
ENSP00000309681	5	PF15794.4	220	Hs_ps13-17	E
ENSP00000309681	124	PF15794.4	220	Hs_ps13-17	H
ENSP00000309681	91	PF15794.4	220	Hs_ps13-17	L
ENSP00000351727	11	PF15482.5	215	Hs_ps13-17	E
ENSP00000351727	29	PF15482.5	215	Hs_ps13-17	H
ENSP00000351727	175	PF15482.5	215	Hs_ps13-17	L
ENSP00000314620	17	PF04103.14	165	Hs_ps13-17	E
ENSP00000314620	90	PF04103.14	165	Hs_ps13-17	H
ENSP00000314620	58	PF04103.14	165	Hs_ps13-17	L
ENSP00000300184	19	PF04103.14	160	Hs_ps13-17	E
ENSP00000300184	92	PF04103.14	160	Hs_ps13-17	H
ENSP00000300184	49	PF04103.14	160	Hs_ps13-17	L
ENSP00000278865	14	PF04103.14	146	Hs_ps13-17	E
ENSP00000278865	95	PF04103.14	146	Hs_ps13-17	H
ENSP00000278865	37	PF04103.14	146	Hs_ps13-17	L
ENSP00000435844	13	PF04103.14	161	Hs_ps13-17	E
ENSP00000435844	96	PF04103.14	161	Hs_ps13-17	H
ENSP00000435844	52	PF04103.14	161	Hs_ps13-17	L
ENSP00000278888	17	PF04103.14	143	Hs_ps13-17	E
ENSP00000278888	85	PF04103.14	143	Hs_ps13-17	H
ENSP00000278888	41	PF04103.14	143	Hs_ps13-17	L
ENSP00000016913	25	PF04103.14	93	Hs_ps13-17	E
ENSP00000016913	48	PF04103.14	93	Hs_ps13-17	H
ENSP00000016913	20	PF04103.14	93	Hs_ps13-17	L
ENSP00000300226	30	PF04103.14	91	Hs_ps13-17	E
ENSP00000300226	44	PF04103.14	91	Hs_ps13-17	H
ENSP00000300226	17	PF04103.14	91	Hs_ps13-17	L
ENSP00000311862	8	PF04103.14	95	Hs_ps13-17	E
ENSP00000311862	65	PF04103.14	95	Hs_ps13-17	H
ENSP00000311862	22	PF04103.14	95	Hs_ps13-17	L
ENSP00000381956	22	PF04103.14	64	Hs_ps13-17	E
ENSP00000381956	25	PF04103.14	64	Hs_ps13-17	H
ENSP00000381956	17	PF04103.14	64	Hs_ps13-17	L
ENSP00000477871	0	PF04505.11	59	Hs_ps13-17	E
ENSP00000477871	55	PF04505.11	59	Hs_ps13-17	H
ENSP00000477871	4	PF04505.11	59	Hs_ps13-17	L
ENSP00000310036	32	PF06365.11	195	Hs_ps13-17	E
ENSP00000310036	30	PF06365.11	195	Hs_ps13-17	H
ENSP00000310036	133	PF06365.11	195	Hs_ps13-17	L
ENSP00000355361	52	PF04549.13	148	Hs_ps13-17	E
ENSP00000355361	73	PF04549.13	148	Hs_ps13-17	H
ENSP00000355361	23	PF04549.13	148	Hs_ps13-17	L
ENSP00000482523	17	PF15213.5	136	Hs_ps13-17	E
ENSP00000482523	24	PF15213.5	136	Hs_ps13-17	H
ENSP00000482523	95	PF15213.5	136	Hs_ps13-17	L
ENSP00000418983	0	PF15661.4	638	Hs_ps13-17	E
ENSP00000418983	17	PF15661.4	638	Hs_ps13-17	H
ENSP00000418983	621	PF15661.4	638	Hs_ps13-17	L
ENSP00000309189	0	PF14645.5	110	Hs_ps13-17	E
ENSP00000309189	79	PF14645.5	110	Hs_ps13-17	H
ENSP00000309189	31	PF14645.5	110	Hs_ps13-17	L
ENSP00000450114	8	PF15045.5	79	Hs_ps13-17	E
ENSP00000450114	18	PF15045.5	79	Hs_ps13-17	H
ENSP00000450114	53	PF15045.5	79	Hs_ps13-17	L
ENSP00000466577	7	PF15675.4	29	Hs_ps13-17	E
ENSP00000466577	20	PF15675.4	29	Hs_ps13-17	H
ENSP00000466577	2	PF15675.4	29	Hs_ps13-17	L
ENSP00000355370	0	PF01110.16	192	Hs_ps13-17	E
ENSP00000355370	119	PF01110.16	192	Hs_ps13-17	H
ENSP00000355370	73	PF01110.16	192	Hs_ps13-17	L
ENSP00000309338	0	PF01110.16	133	Hs_ps13-17	E
ENSP00000309338	86	PF01110.16	133	Hs_ps13-17	H
ENSP00000309338	47	PF01110.16	133	Hs_ps13-17	L
ENSP00000304327	6	PF15340.5	150	Hs_ps13-17	E
ENSP00000304327	5	PF15340.5	150	Hs_ps13-17	H
ENSP00000304327	139	PF15340.5	150	Hs_ps13-17	L
ENSP00000327513	11	PF05337.10	139	Hs_ps13-17	E
ENSP00000327513	75	PF05337.10	139	Hs_ps13-17	H
ENSP00000327513	53	PF05337.10	139	Hs_ps13-17	L
ENSP00000299340	36	PF10873.7	146	Hs_ps13-17	E
ENSP00000299340	19	PF10873.7	146	Hs_ps13-17	H
ENSP00000299340	91	PF10873.7	146	Hs_ps13-17	L
ENSP00000335306	19	PF14047.5	67	Hs_ps13-17	E
ENSP00000335306	6	PF14047.5	67	Hs_ps13-17	H
ENSP00000335306	42	PF14047.5	67	Hs_ps13-17	L
ENSP00000372139	16	PF00323.18	28	Hs_ps13-17	E
ENSP00000372139	0	PF00323.18	28	Hs_ps13-17	H
ENSP00000372139	12	PF00323.18	28	Hs_ps13-17	L
ENSP00000328359	15	PF00323.18	28	Hs_ps13-17	E
ENSP00000328359	0	PF00323.18	28	Hs_ps13-17	H
ENSP00000328359	13	PF00323.18	28	Hs_ps13-17	L
ENSP00000297439	10	PF00711.18	35	Hs_ps13-17	E
ENSP00000297439	4	PF00711.18	35	Hs_ps13-17	H
ENSP00000297439	21	PF00711.18	35	Hs_ps13-17	L
ENSP00000322191	3	PF13841.5	29	Hs_ps13-17	E
ENSP00000322191	12	PF13841.5	29	Hs_ps13-17	H
ENSP00000322191	14	PF13841.5	29	Hs_ps13-17	L
ENSP00000372139	5	PF00879.17	51	Hs_ps13-17	E
ENSP00000372139	16	PF00879.17	51	Hs_ps13-17	H
ENSP00000372139	30	PF00879.17	51	Hs_ps13-17	L
ENSP00000328359	5	PF00879.17	51	Hs_ps13-17	E
ENSP00000328359	20	PF00879.17	51	Hs_ps13-17	H
ENSP00000328359	26	PF00879.17	51	Hs_ps13-17	L
ENSP00000390590	0	PF15498.5	654	Hs_ps13-17	E
ENSP00000390590	0	PF15498.5	654	Hs_ps13-17	H
ENSP00000390590	654	PF15498.5	654	Hs_ps13-17	L
ENSP00000298295	3	PF15343.5	187	Hs_ps13-17	E
ENSP00000298295	14	PF15343.5	187	Hs_ps13-17	H
ENSP00000298295	170	PF15343.5	187	Hs_ps13-17	L
ENSP00000330509	8	PF15198.5	94	Hs_ps13-17	E
ENSP00000330509	50	PF15198.5	94	Hs_ps13-17	H
ENSP00000330509	36	PF15198.5	94	Hs_ps13-17	L
ENSP00000340935	5	PF07263.10	512	Hs_ps13-17	E
ENSP00000340935	8	PF07263.10	512	Hs_ps13-17	H
ENSP00000340935	499	PF07263.10	512	Hs_ps13-17	L
ENSP00000306900	0	PF11466.7	29	Hs_ps13-17	E
ENSP00000306900	20	PF11466.7	29	Hs_ps13-17	H
ENSP00000306900	9	PF11466.7	29	Hs_ps13-17	L
ENSP00000335306	0	PF14049.5	31	Hs_ps13-17	E
ENSP00000335306	3	PF14049.5	31	Hs_ps13-17	H
ENSP00000335306	28	PF14049.5	31	Hs_ps13-17	L
ENSP00000335306	5	PF14049.5	35	Hs_ps13-17	E
ENSP00000335306	15	PF14049.5	35	Hs_ps13-17	H
ENSP00000335306	15	PF14049.5	35	Hs_ps13-17	L
ENSP00000250056	0	PF07326.10	231	Hs_ps13-17	E
ENSP00000250056	60	PF07326.10	231	Hs_ps13-17	H
ENSP00000250056	171	PF07326.10	231	Hs_ps13-17	L
ENSP00000330240	0	PF13904.5	261	Hs_ps13-17	E
ENSP00000330240	216	PF13904.5	261	Hs_ps13-17	H
ENSP00000330240	45	PF13904.5	261	Hs_ps13-17	L
ENSP00000412150	0	PF14988.5	205	Hs_ps13-17	E
ENSP00000412150	205	PF14988.5	205	Hs_ps13-17	H
ENSP00000412150	0	PF14988.5	205	Hs_ps13-17	L
ENSP00000305875	0	PF15021.5	202	Hs_ps13-17	E
ENSP00000305875	66	PF15021.5	202	Hs_ps13-17	H
ENSP00000305875	136	PF15021.5	202	Hs_ps13-17	L
ENSP00000295898	4	PF15022.5	116	Hs_ps13-17	E
ENSP00000295898	58	PF15022.5	116	Hs_ps13-17	H
ENSP00000295898	54	PF15022.5	116	Hs_ps13-17	L
ENSP00000420610	18	PF15023.5	126	Hs_ps13-17	E
ENSP00000420610	52	PF15023.5	126	Hs_ps13-17	H
ENSP00000420610	56	PF15023.5	126	Hs_ps13-17	L
ENSP00000327950	8	PF15041.5	183	Hs_ps13-17	E
ENSP00000327950	36	PF15041.5	183	Hs_ps13-17	H
ENSP00000327950	139	PF15041.5	183	Hs_ps13-17	L
ENSP00000331691	5	PF15047.5	225	Hs_ps13-17	E
ENSP00000331691	150	PF15047.5	225	Hs_ps13-17	H
ENSP00000331691	70	PF15047.5	225	Hs_ps13-17	L
ENSP00000338164	48	PF15049.5	160	Hs_ps13-17	E
ENSP00000338164	75	PF15049.5	160	Hs_ps13-17	H
ENSP00000338164	37	PF15049.5	160	Hs_ps13-17	L
ENSP00000360046	3	PF15078.5	114	Hs_ps13-17	E
ENSP00000360046	31	PF15078.5	114	Hs_ps13-17	H
ENSP00000360046	80	PF15078.5	114	Hs_ps13-17	L
ENSP00000360046	24	PF15078.5	278	Hs_ps13-17	E
ENSP00000360046	37	PF15078.5	278	Hs_ps13-17	H
ENSP00000360046	217	PF15078.5	278	Hs_ps13-17	L
ENSP00000366203	1	PF15094.5	214	Hs_ps13-17	E
ENSP00000366203	0	PF15094.5	214	Hs_ps13-17	H
ENSP00000366203	213	PF15094.5	214	Hs_ps13-17	L
ENSP00000488643	7	PF15118.5	64	Hs_ps13-17	E
ENSP00000488643	48	PF15118.5	64	Hs_ps13-17	H
ENSP00000488643	9	PF15118.5	64	Hs_ps13-17	L
ENSP00000488907	17	PF15118.5	64	Hs_ps13-17	E
ENSP00000488907	29	PF15118.5	64	Hs_ps13-17	H
ENSP00000488907	18	PF15118.5	64	Hs_ps13-17	L
ENSP00000328335	17	PF15118.5	64	Hs_ps13-17	E
ENSP00000328335	38	PF15118.5	64	Hs_ps13-17	H
ENSP00000328335	9	PF15118.5	64	Hs_ps13-17	L
ENSP00000323304	14	PF15145.5	129	Hs_ps13-17	E
ENSP00000323304	59	PF15145.5	129	Hs_ps13-17	H
ENSP00000323304	56	PF15145.5	129	Hs_ps13-17	L
ENSP00000384670	0	PF15262.5	102	Hs_ps13-17	E
ENSP00000384670	0	PF15262.5	102	Hs_ps13-17	H
ENSP00000384670	102	PF15262.5	102	Hs_ps13-17	L
ENSP00000284245	10	PF15366.5	62	Hs_ps13-17	E
ENSP00000284245	0	PF15366.5	62	Hs_ps13-17	H
ENSP00000284245	52	PF15366.5	62	Hs_ps13-17	L
ENSP00000447795	12	PF15380.5	111	Hs_ps13-17	E
ENSP00000447795	21	PF15380.5	111	Hs_ps13-17	H
ENSP00000447795	78	PF15380.5	111	Hs_ps13-17	L
ENSP00000461933	12	PF15382.5	66	Hs_ps13-17	E
ENSP00000461933	7	PF15382.5	66	Hs_ps13-17	H
ENSP00000461933	47	PF15382.5	66	Hs_ps13-17	L
ENSP00000306320	11	PF15387.5	95	Hs_ps13-17	E
ENSP00000306320	23	PF15387.5	95	Hs_ps13-17	H
ENSP00000306320	61	PF15387.5	95	Hs_ps13-17	L
ENSP00000310338	0	PF15395.5	1068	Hs_ps13-17	E
ENSP00000310338	7	PF15395.5	1068	Hs_ps13-17	H
ENSP00000310338	1061	PF15395.5	1068	Hs_ps13-17	L
ENSP00000387124	0	PF15442.5	148	Hs_ps13-17	E
ENSP00000387124	0	PF15442.5	148	Hs_ps13-17	H
ENSP00000387124	148	PF15442.5	148	Hs_ps13-17	L
ENSP00000362743	16	PF15443.5	154	Hs_ps13-17	E
ENSP00000362743	40	PF15443.5	154	Hs_ps13-17	H
ENSP00000362743	98	PF15443.5	154	Hs_ps13-17	L
ENSP00000490456	0	PF15451.5	70	Hs_ps13-17	E
ENSP00000490456	21	PF15451.5	70	Hs_ps13-17	H
ENSP00000490456	49	PF15451.5	70	Hs_ps13-17	L
ENSP00000297819	14	PF15468.5	242	Hs_ps13-17	E
ENSP00000297819	72	PF15468.5	242	Hs_ps13-17	H
ENSP00000297819	156	PF15468.5	242	Hs_ps13-17	L
ENSP00000475146	17	PF15470.5	167	Hs_ps13-17	E
ENSP00000475146	33	PF15470.5	167	Hs_ps13-17	H
ENSP00000475146	117	PF15470.5	167	Hs_ps13-17	L
ENSP00000491327	0	PF15485.5	267	Hs_ps13-17	E
ENSP00000491327	0	PF15485.5	267	Hs_ps13-17	H
ENSP00000491327	267	PF15485.5	267	Hs_ps13-17	L
ENSP00000354874	0	PF15548.5	532	Hs_ps13-17	E
ENSP00000354874	10	PF15548.5	532	Hs_ps13-17	H
ENSP00000354874	522	PF15548.5	532	Hs_ps13-17	L
ENSP00000289989	3	PF15552.5	291	Hs_ps13-17	E
ENSP00000289989	41	PF15552.5	291	Hs_ps13-17	H
ENSP00000289989	247	PF15552.5	291	Hs_ps13-17	L
ENSP00000216071	2	PF15578.5	261	Hs_ps13-17	E
ENSP00000216071	77	PF15578.5	261	Hs_ps13-17	H
ENSP00000216071	182	PF15578.5	261	Hs_ps13-17	L
ENSP00000465822	0	PF15710.4	667	Hs_ps13-17	E
ENSP00000465822	0	PF15710.4	667	Hs_ps13-17	H
ENSP00000465822	667	PF15710.4	667	Hs_ps13-17	L
ENSP00000340887	8	PF15730.4	148	Hs_ps13-17	E
ENSP00000340887	35	PF15730.4	148	Hs_ps13-17	H
ENSP00000340887	105	PF15730.4	148	Hs_ps13-17	L
ENSP00000383456	9	PF15733.4	114	Hs_ps13-17	E
ENSP00000383456	25	PF15733.4	114	Hs_ps13-17	H
ENSP00000383456	80	PF15733.4	114	Hs_ps13-17	L
ENSP00000414909	0	PF15736.4	459	Hs_ps13-17	E
ENSP00000414909	203	PF15736.4	459	Hs_ps13-17	H
ENSP00000414909	256	PF15736.4	459	Hs_ps13-17	L
ENSP00000333208	12	PF15756.4	95	Hs_ps13-17	E
ENSP00000333208	13	PF15756.4	95	Hs_ps13-17	H
ENSP00000333208	70	PF15756.4	95	Hs_ps13-17	L
ENSP00000384117	0	PF15762.4	183	Hs_ps13-17	E
ENSP00000384117	0	PF15762.4	183	Hs_ps13-17	H
ENSP00000384117	183	PF15762.4	183	Hs_ps13-17	L
ENSP00000356093	18	PF15763.4	165	Hs_ps13-17	E
ENSP00000356093	48	PF15763.4	165	Hs_ps13-17	H
ENSP00000356093	99	PF15763.4	165	Hs_ps13-17	L
ENSP00000284437	5	PF15770.4	305	Hs_ps13-17	E
ENSP00000284437	18	PF15770.4	305	Hs_ps13-17	H
ENSP00000284437	282	PF15770.4	305	Hs_ps13-17	L
ENSP00000467565	3	PF15773.4	516	Hs_ps13-17	E
ENSP00000467565	10	PF15773.4	516	Hs_ps13-17	H
ENSP00000467565	503	PF15773.4	516	Hs_ps13-17	L
ENSP00000292779	11	PF15774.4	383	Hs_ps13-17	E
ENSP00000292779	97	PF15774.4	383	Hs_ps13-17	H
ENSP00000292779	275	PF15774.4	383	Hs_ps13-17	L
ENSP00000478886	65	PF15829.4	210	Hs_ps13-17	E
ENSP00000478886	44	PF15829.4	210	Hs_ps13-17	H
ENSP00000478886	101	PF15829.4	210	Hs_ps13-17	L
ENSP00000364363	8	PF15831.4	54	Hs_ps13-17	E
ENSP00000364363	32	PF15831.4	54	Hs_ps13-17	H
ENSP00000364363	14	PF15831.4	54	Hs_ps13-17	L
ENSP00000299415	6	PF15835.4	138	Hs_ps13-17	E
ENSP00000299415	97	PF15835.4	138	Hs_ps13-17	H
ENSP00000299415	35	PF15835.4	138	Hs_ps13-17	L
ENSP00000386450	0	PF15838.4	70	Hs_ps13-17	E
ENSP00000386450	44	PF15838.4	70	Hs_ps13-17	H
ENSP00000386450	26	PF15838.4	70	Hs_ps13-17	L
ENSP00000360824	12	PF15842.4	183	Hs_ps13-17	E
ENSP00000360824	78	PF15842.4	183	Hs_ps13-17	H
ENSP00000360824	93	PF15842.4	183	Hs_ps13-17	L
ENSP00000391404	20	PF15849.4	167	Hs_ps13-17	E
ENSP00000391404	36	PF15849.4	167	Hs_ps13-17	H
ENSP00000391404	111	PF15849.4	167	Hs_ps13-17	L
ENSP00000401498	0	PF15878.4	92	Hs_ps13-17	E
ENSP00000401498	34	PF15878.4	92	Hs_ps13-17	H
ENSP00000401498	58	PF15878.4	92	Hs_ps13-17	L
ENSP00000284818	59	PF02221.14	120	Hs_ps13-17	E
ENSP00000284818	6	PF02221.14	120	Hs_ps13-17	H
ENSP00000284818	55	PF02221.14	120	Hs_ps13-17	L
ENSP00000230568	50	PF02221.14	105	Hs_ps13-17	E
ENSP00000230568	5	PF02221.14	105	Hs_ps13-17	H
ENSP00000230568	50	PF02221.14	105	Hs_ps13-17	L
ENSP00000358045	4	PF05782.10	75	Hs_ps13-17	E
ENSP00000358045	0	PF05782.10	75	Hs_ps13-17	H
ENSP00000358045	71	PF05782.10	75	Hs_ps13-17	L
ENSP00000358045	14	PF05782.10	465	Hs_ps13-17	E
ENSP00000358045	120	PF05782.10	465	Hs_ps13-17	H
ENSP00000358045	331	PF05782.10	465	Hs_ps13-17	L
ENSP00000479243	41	PF15820.4	102	Hs_ps13-17	E
ENSP00000479243	0	PF15820.4	102	Hs_ps13-17	H
ENSP00000479243	61	PF15820.4	102	Hs_ps13-17	L
ENSP00000379383	16	PF15362.5	900	Hs_ps13-17	E
ENSP00000379383	7	PF15362.5	900	Hs_ps13-17	H
ENSP00000379383	877	PF15362.5	900	Hs_ps13-17	L
ENSP00000296420	11	PF07010.11	260	Hs_ps13-17	E
ENSP00000296420	0	PF07010.11	260	Hs_ps13-17	H
ENSP00000296420	249	PF07010.11	260	Hs_ps13-17	L
