protein	age	num_domains	total_domain_length	protein_length
Hs_rnd_gnm8_197683	Hs_rand	0	0	40
ENSP00000361207	Hs_ps1-2	1	214	345
ENSP00000281513	Hs_ps1-2	2	920	2371
Hs_rnd_gnm6_749991	Hs_rand	0	0	89
ENSP00000334869	Hs_ps31	1	83	110
None_protein531057	Hs_igen	0	0	51
ENSP00000326119	Hs_ps13-17	1	53	54
ENSP00000277982	Hs_ps1-2	10	195	1151
Hs_rnd_gnm1_1063387	Hs_rand	0	0	110
ENSP00000490418	Hs_ps20-21	1	41	55
Hs_rnd_gnm1_1156574	Hs_rand	0	0	116
ENSP00000480333	Hs_ps1-2	1	80	1262
ENSP00000328307	Hs_ps1-2	4	430	645
ENSP00000328420	Hs_ps13-17	1	97	157
None_protein205398	Hs_igen	0	0	43
ENSP00000491231	Hs_ps20-21	0	0	115
None_protein306671	Hs_igen	0	0	63
None_protein1046860	Hs_igen	0	0	47
ENSP00000454770	Hs_ps1-2	6	101	251
ENSP00000365261	Hs_ps20-21	1	87	104
None_protein118070	Hs_igen	0	0	63
Hs_rnd_gnm6_919225	Hs_rand	0	0	63
Hs_rnd_gnm2_69394	Hs_rand	0	0	55
Hs_rnd_gnm2_191771	Hs_rand	0	0	44
ENSP00000400669	Hs_ps1-2	1	18	449
Hs_rnd_gnm2_79341	Hs_rand	0	0	47
ENSP00000362273	Hs_ps1-2	1	312	363
ENSP00000263269	Hs_ps1-2	4	556	1336
ENSP00000440864	Hs_ps1-2	2	244	652
ENSP00000415662	Hs_ps1-2	1	94	164
Hs_rnd_gnm2_577016	Hs_rand	0	0	47
Hs_rnd_gnm3_651089	Hs_rand	0	0	46
None_protein214743	Hs_igen	0	0	130
Raj_Hs_2817	Hs_ps20-21	0	0	46
Hs_rnd_gnm6_351720	Hs_rand	0	0	43
Hs_rnd_gnm5_996749	Hs_rand	0	0	126
Hs_rnd_gnm8_1208544	Hs_rand	0	0	101
None_protein660268	Hs_igen	0	0	70
None_protein998211	Hs_igen	0	0	44
Hs_rnd_gnm7_361135	Hs_rand	0	0	73
None_protein1086249	Hs_igen	0	0	42
None_protein951092	Hs_igen	0	0	73
ENSP00000286424	Hs_ps1-2	1	199	285
ENSP00000387307	Hs_ps1-2	3	161	254
vdp2013_S4_225	Hs_ps31	0	0	57
vdp2013_S4_224	Hs_ps31	0	0	164
vdp2013_S4_595	Hs_ps31	0	0	43
vdp2013_S4_592	Hs_ps31	0	0	46
vdp2013_S4_223	Hs_ps31	0	0	68
vdp2013_S4_222	Hs_ps31	0	0	71
ENSP00000315678	Hs_ps1-2	0	0	326
None_protein977908	Hs_igen	0	0	85
ENSP00000380308	Hs_ps1-2	2	67	638
vdp2013_S4_599	Hs_ps31	0	0	72
vdp2013_S4_598	Hs_ps31	0	0	50
ENSP00000348645	Hs_ps1-2	19	1070	1463
None_protein1008405	Hs_igen	0	0	57
ENSP00000350221	Hs_ps1-2	4	758	1272
None_protein323738	Hs_igen	0	0	70
Hs_rnd_gnm1_513953	Hs_rand	0	0	54
ENSP00000327599	Hs_ps1-2	1	106	293
None_protein344040	Hs_igen	0	0	147
ENSP00000417401	Hs_ps1-2	6	1080	2649
ENSP00000321703	Hs_ps1-2	1	199	805
ENSP00000486197	Hs_ps20-21	0	0	145
Raj_Hs_832	Hs_ps31	0	0	45
ENSP00000425721	Hs_ps13-17	4	512	791
ENSP00000363055	Hs_ps13-17	1	248	277
Hs_rnd_gnm8_500981	Hs_rand	0	0	195
None_protein43378	Hs_igen	0	0	116
Hs_JP201901_144	Hs_ps31	0	0	75
None_protein1145560	Hs_igen	0	0	122
Hs_rnd_gnm7_635581	Hs_rand	0	0	86
ENSP00000452347	Hs_ps13-17	1	23	148
Raj_Hs_1542	Hs_ps31	0	0	51
Raj_Hs_645	Hs_ps31	0	0	52
Raj_Hs_646	Hs_ps31	0	0	94
ENSP00000333003	Hs_ps1-2	2	227	352
None_protein336127	Hs_igen	0	0	88
ENSP00000336528	Hs_ps1-2	2	238	473
ENSP00000443189	Hs_ps1-2	1	50	62
Raj_Hs_830	Hs_ps31	0	0	85
Hs_rnd_gnm4_663508	Hs_rand	0	0	100
Hs_rnd_gnm1_1179004	Hs_rand	0	0	71
ENSP00000346130	Hs_ps13-17	1	72	77
Hs_rnd_gnm2_536605	Hs_rand	0	0	57
ENSP00000317128	Hs_ps1-2	7	1346	1925
Hs_rnd_gnm4_1071493	Hs_rand	0	0	65
Hs_rnd_gnm10_1142063	Hs_rand	0	0	330
ENSP00000317123	Hs_ps1-2	7	1099	2136
None_protein698331	Hs_igen	0	0	136
ENSP00000417651	Hs_ps1-2	2	42	98
ENSP00000361811	Hs_ps13-17	1	219	290
ENSP00000357796	Hs_ps13-17	1	42	904
ENSP00000359557	Hs_ps1-2	1	109	146
ENSP00000357791	Hs_ps13-17	1	42	2850
Hs_rnd_gnm7_1157261	Hs_rand	0	0	138
ENSP00000359052	Hs_ps1-2	1	146	360
ENSP00000384370	Hs_ps1-2	1	141	342
ENSP00000319601	Hs_ps1-2	2	270	307
ENSP00000379580	Hs_ps13-17	3	163	416
None_protein1196299	Hs_igen	0	0	142
None_protein1136269	Hs_igen	0	0	56
None_protein508891	Hs_igen	0	0	125
Hs_rnd_gnm7_218148	Hs_rand	0	0	43
ENSP00000332359	Hs_ps20-21	1	201	227
ENSP00000366032	Hs_ps1-2	1	70	195
ENSP00000332602	Hs_ps13-17	1	68	180
Hs_rnd_gnm1_1178353	Hs_rand	0	0	73
Hs_rnd_gnm2_48260	Hs_rand	0	0	45
None_protein1065739	Hs_igen	0	0	44
ENSP00000333724	Hs_ps1-2	2	272	312
Hs_rnd_gnm4_641945	Hs_rand	0	0	73
Hs_rnd_gnm9_1180723	Hs_rand	0	0	53
Hs_rnd_gnm6_722093	Hs_rand	0	0	67
ENSP00000411940	Hs_ps1-2	1	157	189
Hs_rnd_gnm7_326989	Hs_rand	0	0	52
None_protein174120	Hs_igen	0	0	70
ENSP00000263851	Hs_ps13-17	1	144	177
ENSP00000362869	Hs_ps1-2	3	48	161
ENSP00000404375	Hs_ps1-2	1	77	142
ENSP00000293414	Hs_ps1-2	7	238	453
Hs_rnd_gnm6_327929	Hs_rand	0	0	93
Hs_rnd_gnm6_367459	Hs_rand	0	0	45
None_protein933546	Hs_igen	0	0	54
None_protein339208	Hs_igen	0	0	85
hsa_00333274_1	Hs_ps31	0	0	65
ENSP00000297579	Hs_ps1-2	6	295	597
None_protein124555	Hs_igen	0	0	86
ENSP00000355797	Hs_ps13-17	0	0	353
ENSP00000297574	Hs_ps13-17	1	49	180
ENSP00000296444	Hs_ps13-17	1	166	240
ENSP00000253792	Hs_ps1-2	4	597	1101
ENSP00000376472	Hs_ps1-2	2	467	705
Raj_Hs_2011	Hs_ps31	0	0	64
ENSP00000253794	Hs_ps1-2	1	135	176
ENSP00000359978	Hs_ps20-21	0	0	121
ENSP00000479879	Hs_ps1-2	1	358	924
ENSP00000439689	Hs_ps1-2	4	114	1220
ENSP00000216367	Hs_ps1-2	2	273	527
Raj_Hs_2311	Hs_ps31	0	0	110
ENSP00000352219	Hs_ps1-2	2	293	419
None_protein1218673	Hs_igen	0	0	72
ENSP00000255226	Hs_ps1-2	2	588	920
ENSP00000352216	Hs_ps1-2	3	412	541
Hs_rnd_gnm4_640019	Hs_rand	0	0	41
ENSP00000316240	Hs_ps1-2	2	147	702
None_protein986212	Hs_igen	0	0	59
ENSP00000377401	Hs_ps1-2	1	299	432
Hs_JP201901_366	Hs_ps1-2	0	0	82
Hs_JP201901_365	Hs_ps20-21	0	0	88
Hs_JP201901_362	Hs_ps31	0	0	43
Hs_rnd_gnm10_1110850	Hs_rand	0	0	42
Hs_JP201901_368	Hs_ps31	0	0	88
ENSP00000268206	Hs_ps1-2	3	397	1120
ENSP00000243286	Hs_ps20-21	1	126	200
ENSP00000278742	Hs_ps1-2	9	661	855
None_protein266228	Hs_igen	0	0	66
ENSP00000301310	Hs_ps1-2	17	237	517
ENSP00000264071	Hs_ps1-2	2	328	444
Hs_rnd_gnm2_292468	Hs_rand	0	0	73
None_protein952751	Hs_igen	0	0	46
Hs_rnd_gnm3_1107013	Hs_rand	0	0	47
ENSP00000363804	Hs_ps1-2	3	70	479
None_protein706532	Hs_igen	0	0	48
Hs_rnd_gnm5_1235203	Hs_rand	0	0	305
Hs_rnd_gnm2_544668	Hs_rand	0	0	62
None_protein270836	Hs_igen	0	0	49
ENSP00000371126	Hs_ps13-17	1	739	878
ENSP00000411372	Hs_ps1-2	0	0	573
Raj_Hs_1378	Hs_ps31	0	0	141
None_protein500894	Hs_igen	0	0	48
Raj_Hs_1377	Hs_ps31	0	0	86
Raj_Hs_1374	Hs_ps31	0	0	95
ENSP00000361776	Hs_ps20-21	1	101	120
Hs_rnd_gnm6_329990	Hs_rand	0	0	63
Hs_rnd_gnm9_682423	Hs_rand	0	0	48
Hs_rnd_gnm10_537875	Hs_rand	0	0	68
None_protein714667	Hs_igen	0	0	43
None_protein43966	Hs_igen	0	0	42
Raj_Hs_2179	Hs_ps31	0	0	48
vdp2013_S4_467	Hs_ps31	0	0	49
ENSP00000247153	Hs_ps1-2	6	289	469
ENSP00000370718	Hs_ps1-2	3	500	621
Raj_Hs_2174	Hs_ps31	0	0	42
ENSP00000349274	Hs_ps13-17	1	851	1209
Raj_Hs_1156	Hs_ps31	0	0	73
ENSP00000327070	Hs_ps1-2	2	306	338
Raj_Hs_1153	Hs_ps31	0	0	47
Raj_Hs_1151	Hs_ps31	0	0	48
None_protein1173276	Hs_igen	0	0	41
Raj_Hs_251	Hs_ps31	0	0	105
vdp2013_S4_460	Hs_ps31	0	0	124
Hs_rnd_gnm10_1139146	Hs_rand	0	0	49
Raj_Hs_258	Hs_ps31	0	0	46
Hs_rnd_gnm3_1122270	Hs_rand	0	0	0
vdp2013_S4_696	Hs_ps31	0	0	45
vdp2013_S4_697	Hs_ps31	0	0	48
vdp2013_S4_690	Hs_ps31	0	0	51
vdp2013_S4_692	Hs_ps20-21	0	0	79
vdp2013_S4_693	Hs_ps31	0	0	91
None_protein501276	Hs_igen	0	0	62
vdp2013_S4_699	Hs_ps31	0	0	40
None_protein342553	Hs_igen	0	0	98
Hs_rnd_gnm3_1068189	Hs_rand	0	0	47
ENSP00000360577	Hs_ps1-2	2	251	292
None_protein1108893	Hs_igen	0	0	71
Hs_rnd_gnm10_1217881	Hs_rand	0	0	49
Hs_rnd_gnm5_712473	Hs_rand	0	0	120
Hs_rnd_gnm1_1176036	Hs_rand	0	0	159
ENSP00000366203	Hs_ps13-17	1	214	823
ENSP00000376278	Hs_ps13-17	1	60	61
None_protein89207	Hs_igen	0	0	45
None_protein836906	Hs_igen	0	0	57
None_protein1216631	Hs_igen	0	0	85
ENSP00000290390	Hs_ps1-2	1	575	588
ENSP00000365891	Hs_ps1-2	3	192	502
ENSP00000312652	Hs_ps13-17	1	144	167
None_protein1234851	Hs_igen	0	0	49
vdp2013_S4_863	Hs_ps31	0	0	40
vdp2013_S4_314	Hs_ps31	0	0	60
ENSP00000475986	Hs_ps1-2	1	76	172
None_protein548613	Hs_igen	0	0	46
Hs_rnd_gnm10_510446	Hs_rand	0	0	49
vdp2013_S4_316	Hs_ps31	0	0	865
ENSP00000380468	Hs_ps1-2	1	135	269
ENSP00000296420	Hs_ps13-17	1	260	261
vdp2013_S4_867	Hs_ps31	0	0	399
ENSP00000380467	Hs_ps1-2	1	257	316
ENSP00000340546	Hs_ps20-21	4	146	181
ENSP00000301665	Hs_ps20-21	0	0	258
vdp2013_S4_641	Hs_ps31	0	0	55
None_protein507487	Hs_igen	0	0	106
vdp2013_S4_312	Hs_ps31	0	0	50
None_protein1178888	Hs_igen	0	0	43
Hs_rnd_gnm3_899829	Hs_rand	0	0	104
None_protein807330	Hs_igen	0	0	45
ENSP00000385163	Hs_ps1-2	17	256	549
vdp2013_S4_868	Hs_ps31	0	0	82
None_protein607477	Hs_igen	0	0	59
ENSP00000394623	Hs_ps13-17	1	739	878
None_protein789267	Hs_igen	0	0	51
Hs_rnd_gnm2_402690	Hs_rand	0	0	53
vdp2013_S4_318	Hs_ps31	0	0	60
ENSP00000489624	Hs_ps13-17	0	0	48
ENSP00000428281	Hs_ps1-2	1	88	169
vdp2013_S4_1095	Hs_ps31	0	0	64
ENSP00000228799	Hs_ps1-2	1	337	447
vdp2013_S4_1092	Hs_ps31	0	0	42
None_protein596086	Hs_igen	0	0	50
None_protein182517	Hs_igen	0	0	110
ENSP00000342007	Hs_ps1-2	1	450	516
ENSP00000285814	Hs_ps1-2	2	108	293
ENSP00000335566	Hs_ps31	0	0	79
Hs_rnd_gnm3_1288918	Hs_rand	0	0	119
ENSP00000489442	Hs_ps1-2	1	306	815
ENSP00000364076	Hs_ps1-2	2	161	255
Hs_rnd_gnm9_661059	Hs_rand	0	0	74
Hs_JP201901_209	Hs_ps31	0	0	81
None_protein791620	Hs_igen	0	0	48
ENSP00000421172	Hs_ps1-2	1	293	333
Hs_rnd_gnm4_957412	Hs_rand	0	0	48
ENSP00000302867	Hs_ps1-2	3	275	312
ENSP00000377601	Hs_ps1-2	3	496	884
None_protein227917	Hs_igen	0	0	50
ENSP00000405544	Hs_ps1-2	1	125	201
Hs_rnd_gnm6_1112590	Hs_rand	0	0	144
ENSP00000310008	Hs_ps13-17	0	0	229
Hs_rnd_gnm10_1026544	Hs_rand	0	0	47
ENSP00000378534	Hs_ps13-17	1	159	556
ENSP00000306524	Hs_ps1-2	5	503	796
ENSP00000364110	Hs_ps20-21	1	106	111
None_protein224799	Hs_igen	0	0	56
Hs_rnd_gnm6_1177228	Hs_rand	0	0	51
None_protein26670	Hs_igen	0	0	50
ENSP00000259212	Hs_ps13-17	1	95	155
ENSP00000259211	Hs_ps13-17	1	101	158
ENSP00000352510	Hs_ps1-2	3	79	1411
ENSP00000343290	Hs_ps1-2	1	136	320
ENSP00000328397	Hs_ps1-2	1	164	202
vdp2013_S4_770	Hs_ps31	0	0	61
Hs_rnd_gnm9_1097427	Hs_rand	0	0	79
vdp2013_S4_792	Hs_ps31	0	0	50
None_protein983490	Hs_igen	0	0	61
Hs_rnd_gnm7_1053019	Hs_rand	0	0	69
Hs_rnd_gnm10_214483	Hs_rand	0	0	90
None_protein1073465	Hs_igen	0	0	64
None_protein452841	Hs_igen	0	0	55
None_protein966127	Hs_igen	0	0	56
Raj_Hs_2785	Hs_ps31	0	0	55
Raj_Hs_2781	Hs_ps31	0	0	48
Hs_rnd_gnm7_447610	Hs_rand	0	0	84
ENSP00000367794	Hs_ps1-2	5	364	464
None_protein876633	Hs_igen	0	0	40
Raj_Hs_21	Hs_ps31	0	0	63
ENSP00000369967	Hs_ps20-21	0	0	254
ENSP00000369960	Hs_ps1-2	2	302	475
ENSP00000410769	Hs_ps1-2	16	116	179
Raj_Hs_24	Hs_ps31	0	0	95
ENSP00000263063	Hs_ps1-2	1	43	582
ENSP00000488907	Hs_ps13-17	1	64	68
ENSP00000360360	Hs_ps20-21	1	287	299
ENSP00000365243	Hs_ps1-2	1	131	171
vdp2013_S4_537	Hs_ps31	0	0	41
ENSP00000360365	Hs_ps1-2	1	76	182
ENSP00000490699	Hs_ps13-17	0	0	71
ENSP00000444747	Hs_ps1-2	14	307	537
Raj_Hs_2256	Hs_ps31	0	0	46
None_protein412068	Hs_igen	0	0	49
ENSP00000368304	Hs_ps1-2	2	256	347
ENSP00000477006	Hs_ps20-21	0	0	96
ENSP00000225235	Hs_ps1-2	1	223	775
None_protein775765	Hs_igen	0	0	77
None_protein1255530	Hs_igen	0	0	53
None_protein10386	Hs_igen	0	0	47
ENSP00000358857	Hs_ps13-17	1	38	254
Hs_rnd_gnm6_1160778	Hs_rand	0	0	62
ENSP00000224721	Hs_ps1-2	24	2100	3359
Hs_rnd_gnm4_131452	Hs_rand	0	0	65
None_protein1259073	Hs_igen	0	0	51
ENSP00000380920	Hs_ps13-17	0	0	230
vdp2013_S4_491	Hs_ps31	0	0	59
ENSP00000380763	Hs_ps1-2	2	176	1032
ENSP00000348668	Hs_ps1-2	3	345	622
ENSP00000380679	Hs_ps1-2	1	98	1142
None_protein109832	Hs_igen	0	0	59
None_protein446074	Hs_igen	0	0	99
ENSP00000386450	Hs_ps13-17	1	70	147
Hs_rnd_gnm5_1081184	Hs_rand	0	0	64
vdp2013_S4_533	Hs_ps31	0	0	67
ENSP00000256442	Hs_ps1-2	2	241	433
ENSP00000465822	Hs_ps13-17	1	667	668
None_protein280581	Hs_igen	0	0	64
ENSP00000466321	Hs_ps1-2	1	72	121
ENSP00000451945	Hs_ps1-2	1	56	310
Hs_rnd_gnm3_792407	Hs_rand	0	0	72
ENSP00000416330	Hs_ps1-2	4	468	683
None_protein1267148	Hs_igen	0	0	128
None_protein712044	Hs_igen	0	0	58
Raj_Hs_1524	Hs_ps31	0	0	57
Raj_Hs_1523	Hs_ps31	0	0	94
Raj_Hs_1521	Hs_ps31	0	0	50
Raj_Hs_629	Hs_ps31	0	0	78
Raj_Hs_626	Hs_ps31	0	0	102
Raj_Hs_627	Hs_ps31	0	0	62
Hs_JP201901_540	Hs_ps13-17	0	0	88
Hs_JP201901_546	Hs_ps31	0	0	82
Raj_Hs_1529	Hs_ps31	0	0	46
Raj_Hs_1528	Hs_ps31	0	0	68
vdp2013_S4_209	Hs_ps31	0	0	102
vdp2013_S4_207	Hs_ps31	0	0	61
ENSP00000315654	Hs_ps1-2	3	336	466
vdp2013_S4_203	Hs_ps31	0	0	89
vdp2013_S4_202	Hs_ps31	0	0	85
ENSP00000345133	Hs_ps1-2	6	631	1551
None_protein478633	Hs_igen	0	0	58
Hs_rnd_gnm2_1112935	Hs_rand	0	0	82
Hs_rnd_gnm8_595254	Hs_rand	0	0	47
Hs_rnd_gnm3_650001	Hs_rand	0	0	44
ENSP00000291536	Hs_ps1-2	7	131	309
ENSP00000372170	Hs_ps1-2	1	56	303
ENSP00000419944	Hs_ps20-21	1	50	134
ENSP00000419945	Hs_ps1-2	1	394	538
vdp2013_S4_26	Hs_ps31	0	0	85
vdp2013_S4_27	Hs_ps20-21	0	0	95
vdp2013_S4_24	Hs_ps31	0	0	98
vdp2013_S4_25	Hs_ps31	0	0	44
vdp2013_S4_22	Hs_ps31	0	0	64
vdp2013_S4_20	Hs_ps31	0	0	95
vdp2013_S4_21	Hs_ps13-17	0	0	54
vdp2013_S4_28	Hs_ps31	0	0	63
vdp2013_S4_29	Hs_ps31	0	0	47
None_protein1071733	Hs_igen	0	0	59
ENSP00000257312	Hs_ps1-2	1	120	867
ENSP00000359534	Hs_ps20-21	1	93	141
ENSP00000359539	Hs_ps1-2	1	373	413
None_protein421818	Hs_igen	0	0	81
None_protein370717	Hs_igen	0	0	73
Hs_rnd_gnm3_799721	Hs_rand	0	0	58
ENSP00000455698	Hs_ps13-17	1	64	276
Hs_rnd_gnm3_108498	Hs_rand	0	0	64
None_protein161635	Hs_igen	0	0	42
Raj_Hs_3189	Hs_ps20-21	0	0	50
ENSP00000405950	Hs_ps1-2	3	255	426
Hs_rnd_gnm2_712550	Hs_rand	0	0	54
Hs_rnd_gnm6_788982	Hs_rand	0	0	85
Hs_rnd_gnm9_1074317	Hs_rand	0	0	41
None_protein389604	Hs_igen	0	0	81
Hs_rnd_gnm7_585900	Hs_rand	0	0	68
ENSP00000453012	Hs_ps20-21	0	0	131
None_protein52795	Hs_igen	0	0	48
ENSP00000366015	Hs_ps1-2	1	211	346
None_protein189081	Hs_igen	0	0	137
None_protein70670	Hs_igen	0	0	96
ENSP00000324804	Hs_ps1-2	5	222	589
ENSP00000458570	Hs_ps1-2	8	728	962
ENSP00000335358	Hs_ps31	1	76	95
Hs_rnd_gnm8_436858	Hs_rand	0	0	56
ENSP00000227378	Hs_ps1-2	2	606	646
Hs_rnd_gnm7_666457	Hs_rand	0	0	46
ENSP00000347244	Hs_ps1-2	20	838	1697
Hs_rnd_gnm3_1135475	Hs_rand	0	0	114
ENSP00000414657	Hs_ps1-2	9	112	433
ENSP00000316675	Hs_ps20-21	0	0	326
None_protein960607	Hs_igen	0	0	50
Hs_rnd_gnm4_1128394	Hs_rand	0	0	50
ENSP00000348982	Hs_ps1-2	22	538	1541
None_protein79597	Hs_igen	0	0	40
None_protein1170507	Hs_igen	0	0	62
ENSP00000358667	Hs_ps1-2	2	72	180
Hs_rnd_gnm1_20971	Hs_rand	0	0	69
None_protein576419	Hs_igen	0	0	41
ENSP00000357917	Hs_ps13-17	1	72	90
ENSP00000296181	Hs_ps1-2	4	426	799
ENSP00000342215	Hs_ps13-17	2	157	341
None_protein109240	Hs_igen	0	0	49
Hs_rnd_gnm2_141109	Hs_rand	0	0	41
ENSP00000489874	Hs_ps20-21	1	151	217
None_protein463197	Hs_igen	0	0	59
ENSP00000472220	Hs_ps20-21	0	0	210
hsa_00223807_1	Hs_ps31	0	0	199
None_protein990060	Hs_igen	0	0	108
Hs_rnd_gnm9_1308029	Hs_rand	0	0	128
None_protein105939	Hs_igen	0	0	48
None_protein120196	Hs_igen	0	0	57
None_protein494815	Hs_igen	0	0	60
ENSP00000311545	Hs_ps1-2	15	538	886
Hs_rnd_gnm4_1231213	Hs_rand	0	0	41
Hs_rnd_gnm3_679704	Hs_rand	0	0	66
Hs_JP201901_301	Hs_ps31	0	0	85
Hs_JP201901_304	Hs_ps31	0	0	67
Hs_JP201901_307	Hs_ps31	0	0	128
Hs_JP201901_308	Hs_ps31	0	0	196
None_protein45391	Hs_igen	0	0	51
ENSP00000416658	Hs_ps1-2	1	134	194
ENSP00000368797	Hs_ps1-2	3	251	684
ENSP00000315554	Hs_ps20-21	1	92	309
Hs_rnd_gnm1_182959	Hs_rand	0	0	40
ENSP00000317674	Hs_ps13-17	1	314	414
Hs_rnd_gnm4_999305	Hs_rand	0	0	65
ENSP00000303908	Hs_ps1-2	2	234	349
None_protein841875	Hs_igen	0	0	106
None_protein17388	Hs_igen	0	0	50
Hs_rnd_gnm4_140729	Hs_rand	0	0	47
ENSP00000420610	Hs_ps13-17	1	126	140
ENSP00000369553	Hs_ps1-2	1	159	189
ENSP00000331500	Hs_ps20-21	1	158	164
ENSP00000393183	Hs_ps1-2	0	0	1507
Hs_rnd_gnm10_898366	Hs_rand	0	0	54
ENSP00000371141	Hs_ps13-17	1	110	117
ENSP00000401701	Hs_ps1-2	2	212	293
ENSP00000259008	Hs_ps1-2	2	353	1249
ENSP00000389455	Hs_ps20-21	0	0	131
ENSP00000223073	Hs_ps1-2	3	184	759
None_protein59852	Hs_igen	0	0	62
None_protein1076649	Hs_igen	0	0	62
ENSP00000419162	Hs_ps1-2	5	195	482
ENSP00000300069	Hs_ps1-2	1	61	209
ENSP00000419160	Hs_ps13-17	0	0	98
Raj_Hs_1310	Hs_ps20-21	0	0	44
Hs_rnd_gnm9_446163	Hs_rand	0	0	78
None_protein155867	Hs_igen	0	0	49
Hs_rnd_gnm4_527444	Hs_rand	0	0	0
None_protein197809	Hs_igen	0	0	53
Hs_rnd_gnm2_687590	Hs_rand	0	0	49
