protein	number_letter	stretch_num	length	group	letter
ENSP00000492463	86	1	120	Hs_ps1-2	H
ENSP00000492463	34	1	120	Hs_ps1-2	L
None_protein1201607	10	1	71	Hs_igen	E
None_protein1201607	29	1	71	Hs_igen	H
None_protein1201607	32	1	71	Hs_igen	L
Hs_rnd_gnm4_1138857	55	1	187	Hs_rand	E
Hs_rnd_gnm4_1138857	15	1	187	Hs_rand	H
Hs_rnd_gnm4_1138857	117	1	187	Hs_rand	L
vdp2013_S4_581	0	1	51	Hs_ps31	E
vdp2013_S4_581	29	1	51	Hs_ps31	H
vdp2013_S4_581	22	1	51	Hs_ps31	L
ENSP00000424864	0	1	9	Hs_ps20-21	E
ENSP00000424864	9	1	9	Hs_ps20-21	H
ENSP00000424864	0	1	9	Hs_ps20-21	L
ENSP00000424864	6	2	129	Hs_ps20-21	E
ENSP00000424864	56	2	129	Hs_ps20-21	H
ENSP00000424864	67	2	129	Hs_ps20-21	L
None_protein712498	8	1	85	Hs_igen	E
None_protein712498	23	1	85	Hs_igen	H
None_protein712498	54	1	85	Hs_igen	L
None_protein712498	2	2	4	Hs_igen	E
None_protein712498	0	2	4	Hs_igen	H
None_protein712498	2	2	4	Hs_igen	L
Hs_rnd_gnm9_971258	37	1	149	Hs_rand	E
Hs_rnd_gnm9_971258	42	1	149	Hs_rand	H
Hs_rnd_gnm9_971258	70	1	149	Hs_rand	L
None_protein844823	6	1	114	Hs_igen	E
None_protein844823	6	1	114	Hs_igen	H
None_protein844823	102	1	114	Hs_igen	L
None_protein586446	10	1	50	Hs_igen	E
None_protein586446	33	1	50	Hs_igen	H
None_protein586446	7	1	50	Hs_igen	L
ENSP00000468139	0	1	178	Hs_ps13-17	E
ENSP00000468139	128	1	178	Hs_ps13-17	H
ENSP00000468139	50	1	178	Hs_ps13-17	L
Hs_rnd_gnm10_215954	43	1	61	Hs_rand	E
Hs_rnd_gnm10_215954	5	1	61	Hs_rand	H
Hs_rnd_gnm10_215954	13	1	61	Hs_rand	L
vdp2013_S4_238	17	1	95	Hs_ps31	E
vdp2013_S4_238	10	1	95	Hs_ps31	H
vdp2013_S4_238	68	1	95	Hs_ps31	L
ENSP00000417250	40	1	368	Hs_ps1-2	E
ENSP00000417250	137	1	368	Hs_ps1-2	H
ENSP00000417250	191	1	368	Hs_ps1-2	L
vdp2013_S4_239	0	1	0	Hs_ps31	E
vdp2013_S4_239	0	1	0	Hs_ps31	H
vdp2013_S4_239	0	1	0	Hs_ps31	L
None_protein318555	3	1	40	Hs_igen	E
None_protein318555	32	1	40	Hs_igen	H
None_protein318555	5	1	40	Hs_igen	L
ENSP00000376215	30	1	147	Hs_ps1-2	E
ENSP00000376215	52	1	147	Hs_ps1-2	H
ENSP00000376215	65	1	147	Hs_ps1-2	L
ENSP00000482001	0	1	29	Hs_ps13-17	E
ENSP00000482001	26	1	29	Hs_ps13-17	H
ENSP00000482001	3	1	29	Hs_ps13-17	L
ENSP00000482001	0	2	348	Hs_ps13-17	E
ENSP00000482001	240	2	348	Hs_ps13-17	H
ENSP00000482001	108	2	348	Hs_ps13-17	L
None_protein484894	0	1	40	Hs_igen	E
None_protein484894	7	1	40	Hs_igen	H
None_protein484894	33	1	40	Hs_igen	L
Hs_rnd_gnm10_652763	27	1	49	Hs_rand	E
Hs_rnd_gnm10_652763	0	1	49	Hs_rand	H
Hs_rnd_gnm10_652763	22	1	49	Hs_rand	L
ENSP00000330523	50	1	107	Hs_ps1-2	E
ENSP00000330523	0	1	107	Hs_ps1-2	H
ENSP00000330523	57	1	107	Hs_ps1-2	L
Hs_rnd_gnm3_1020157	47	1	148	Hs_rand	E
Hs_rnd_gnm3_1020157	33	1	148	Hs_rand	H
Hs_rnd_gnm3_1020157	68	1	148	Hs_rand	L
ENSP00000333725	14	1	127	Hs_ps1-2	E
ENSP00000333725	32	1	127	Hs_ps1-2	H
ENSP00000333725	81	1	127	Hs_ps1-2	L
ENSP00000333725	7	2	368	Hs_ps1-2	E
ENSP00000333725	85	2	368	Hs_ps1-2	H
ENSP00000333725	276	2	368	Hs_ps1-2	L
Raj_Hs_494	18	1	80	Hs_ps31	E
Raj_Hs_494	23	1	80	Hs_ps31	H
Raj_Hs_494	39	1	80	Hs_ps31	L
vdp2013_S4_908	0	1	46	Hs_ps31	E
vdp2013_S4_908	32	1	46	Hs_ps31	H
vdp2013_S4_908	14	1	46	Hs_ps31	L
vdp2013_S4_909	5	1	40	Hs_ps31	E
vdp2013_S4_909	15	1	40	Hs_ps31	H
vdp2013_S4_909	20	1	40	Hs_ps31	L
vdp2013_S4_905	40	1	88	Hs_ps20-21	E
vdp2013_S4_905	0	1	88	Hs_ps20-21	H
vdp2013_S4_905	48	1	88	Hs_ps20-21	L
ENSP00000296444	0	1	19	Hs_ps13-17	E
ENSP00000296444	11	1	19	Hs_ps13-17	H
ENSP00000296444	8	1	19	Hs_ps13-17	L
ENSP00000296444	0	2	5	Hs_ps13-17	E
ENSP00000296444	5	2	5	Hs_ps13-17	H
ENSP00000296444	0	2	5	Hs_ps13-17	L
ENSP00000296444	23	3	134	Hs_ps13-17	E
ENSP00000296444	0	3	134	Hs_ps13-17	H
ENSP00000296444	111	3	134	Hs_ps13-17	L
vdp2013_S4_907	3	1	54	Hs_ps31	E
vdp2013_S4_907	28	1	54	Hs_ps31	H
vdp2013_S4_907	23	1	54	Hs_ps31	L
vdp2013_S4_900	2	1	43	Hs_ps31	E
vdp2013_S4_900	16	1	43	Hs_ps31	H
vdp2013_S4_900	25	1	43	Hs_ps31	L
vdp2013_S4_901	0	1	42	Hs_ps31	E
vdp2013_S4_901	36	1	42	Hs_ps31	H
vdp2013_S4_901	6	1	42	Hs_ps31	L
vdp2013_S4_902	0	1	71	Hs_ps31	E
vdp2013_S4_902	24	1	71	Hs_ps31	H
vdp2013_S4_902	47	1	71	Hs_ps31	L
Raj_Hs_2963	4	1	55	Hs_ps31	E
Raj_Hs_2963	26	1	55	Hs_ps31	H
Raj_Hs_2963	25	1	55	Hs_ps31	L
ENSP00000366190	0	1	212	Hs_ps1-2	E
ENSP00000366190	61	1	212	Hs_ps1-2	H
ENSP00000366190	151	1	212	Hs_ps1-2	L
Hs_rnd_gnm5_1209748	38	1	59	Hs_rand	E
Hs_rnd_gnm5_1209748	0	1	59	Hs_rand	H
Hs_rnd_gnm5_1209748	21	1	59	Hs_rand	L
ENSP00000353048	79	1	557	Hs_ps1-2	E
ENSP00000353048	259	1	557	Hs_ps1-2	H
ENSP00000353048	219	1	557	Hs_ps1-2	L
Hs_rnd_gnm2_492494	5	1	55	Hs_rand	E
Hs_rnd_gnm2_492494	38	1	55	Hs_rand	H
Hs_rnd_gnm2_492494	12	1	55	Hs_rand	L
None_protein711262	6	1	56	Hs_igen	E
None_protein711262	19	1	56	Hs_igen	H
None_protein711262	31	1	56	Hs_igen	L
None_protein550542	14	1	45	Hs_igen	E
None_protein550542	13	1	45	Hs_igen	H
None_protein550542	18	1	45	Hs_igen	L
None_protein571453	0	1	45	Hs_igen	E
None_protein571453	32	1	45	Hs_igen	H
None_protein571453	13	1	45	Hs_igen	L
ENSP00000341282	0	1	351	Hs_ps13-17	E
ENSP00000341282	348	1	351	Hs_ps13-17	H
ENSP00000341282	3	1	351	Hs_ps13-17	L
ENSP00000314480	6	1	418	Hs_ps1-2	E
ENSP00000314480	30	1	418	Hs_ps1-2	H
ENSP00000314480	382	1	418	Hs_ps1-2	L
None_protein911449	3	1	56	Hs_igen	E
None_protein911449	37	1	56	Hs_igen	H
None_protein911449	16	1	56	Hs_igen	L
Hs_rnd_gnm5_1286392	10	1	68	Hs_rand	E
Hs_rnd_gnm5_1286392	11	1	68	Hs_rand	H
Hs_rnd_gnm5_1286392	47	1	68	Hs_rand	L
Hs_rnd_gnm2_1033104	3	1	8	Hs_rand	E
Hs_rnd_gnm2_1033104	0	1	8	Hs_rand	H
Hs_rnd_gnm2_1033104	5	1	8	Hs_rand	L
Hs_rnd_gnm2_1033104	6	2	14	Hs_rand	E
Hs_rnd_gnm2_1033104	0	2	14	Hs_rand	H
Hs_rnd_gnm2_1033104	8	2	14	Hs_rand	L
ENSP00000251241	105	1	779	Hs_ps1-2	E
ENSP00000251241	345	1	779	Hs_ps1-2	H
ENSP00000251241	329	1	779	Hs_ps1-2	L
None_protein430528	36	1	112	Hs_igen	E
None_protein430528	27	1	112	Hs_igen	H
None_protein430528	49	1	112	Hs_igen	L
ENSP00000232978	25	1	74	Hs_ps1-2	E
ENSP00000232978	13	1	74	Hs_ps1-2	H
ENSP00000232978	36	1	74	Hs_ps1-2	L
ENSP00000232978	24	2	66	Hs_ps1-2	E
ENSP00000232978	9	2	66	Hs_ps1-2	H
ENSP00000232978	33	2	66	Hs_ps1-2	L
ENSP00000232978	3	3	48	Hs_ps1-2	E
ENSP00000232978	28	3	48	Hs_ps1-2	H
ENSP00000232978	17	3	48	Hs_ps1-2	L
ENSP00000232978	3	4	26	Hs_ps1-2	E
ENSP00000232978	11	4	26	Hs_ps1-2	H
ENSP00000232978	12	4	26	Hs_ps1-2	L
ENSP00000232978	4	5	12	Hs_ps1-2	E
ENSP00000232978	0	5	12	Hs_ps1-2	H
ENSP00000232978	8	5	12	Hs_ps1-2	L
ENSP00000232978	6	6	201	Hs_ps1-2	E
ENSP00000232978	11	6	201	Hs_ps1-2	H
ENSP00000232978	184	6	201	Hs_ps1-2	L
None_protein767699	7	1	58	Hs_igen	E
None_protein767699	32	1	58	Hs_igen	H
None_protein767699	19	1	58	Hs_igen	L
Hs_rnd_gnm7_1112640	37	1	98	Hs_rand	E
Hs_rnd_gnm7_1112640	19	1	98	Hs_rand	H
Hs_rnd_gnm7_1112640	42	1	98	Hs_rand	L
ENSP00000472160	22	1	148	Hs_ps13-17	E
ENSP00000472160	40	1	148	Hs_ps13-17	H
ENSP00000472160	86	1	148	Hs_ps13-17	L
None_protein1016682	9	1	42	Hs_igen	E
None_protein1016682	6	1	42	Hs_igen	H
None_protein1016682	27	1	42	Hs_igen	L
None_protein854074	10	1	23	Hs_igen	E
None_protein854074	0	1	23	Hs_igen	H
None_protein854074	13	1	23	Hs_igen	L
ENSP00000485524	5	1	39	Hs_ps13-17	E
ENSP00000485524	14	1	39	Hs_ps13-17	H
ENSP00000485524	20	1	39	Hs_ps13-17	L
ENSP00000485524	0	2	70	Hs_ps13-17	E
ENSP00000485524	34	2	70	Hs_ps13-17	H
ENSP00000485524	36	2	70	Hs_ps13-17	L
Hs_rnd_gnm10_61249	4	1	47	Hs_rand	E
Hs_rnd_gnm10_61249	28	1	47	Hs_rand	H
Hs_rnd_gnm10_61249	15	1	47	Hs_rand	L
ENSP00000450581	0	1	62	Hs_ps20-21	E
ENSP00000450581	26	1	62	Hs_ps20-21	H
ENSP00000450581	36	1	62	Hs_ps20-21	L
ENSP00000422769	2	1	83	Hs_ps31	E
ENSP00000422769	0	1	83	Hs_ps31	H
ENSP00000422769	81	1	83	Hs_ps31	L
None_protein1043737	0	1	77	Hs_igen	E
None_protein1043737	40	1	77	Hs_igen	H
None_protein1043737	37	1	77	Hs_igen	L
ENSP00000480158	26	1	149	Hs_ps1-2	E
ENSP00000480158	37	1	149	Hs_ps1-2	H
ENSP00000480158	86	1	149	Hs_ps1-2	L
ENSP00000480158	83	2	410	Hs_ps1-2	E
ENSP00000480158	134	2	410	Hs_ps1-2	H
ENSP00000480158	193	2	410	Hs_ps1-2	L
ENSP00000480158	22	3	162	Hs_ps1-2	E
ENSP00000480158	90	3	162	Hs_ps1-2	H
ENSP00000480158	50	3	162	Hs_ps1-2	L
ENSP00000480158	197	4	1159	Hs_ps1-2	E
ENSP00000480158	159	4	1159	Hs_ps1-2	H
ENSP00000480158	803	4	1159	Hs_ps1-2	L
ENSP00000262518	0	1	153	Hs_ps1-2	E
ENSP00000262518	132	1	153	Hs_ps1-2	H
ENSP00000262518	21	1	153	Hs_ps1-2	L
ENSP00000262518	0	2	54	Hs_ps1-2	E
ENSP00000262518	19	2	54	Hs_ps1-2	H
ENSP00000262518	35	2	54	Hs_ps1-2	L
ENSP00000262518	0	3	7	Hs_ps1-2	E
ENSP00000262518	7	3	7	Hs_ps1-2	H
ENSP00000262518	0	3	7	Hs_ps1-2	L
ENSP00000262518	63	4	417	Hs_ps1-2	E
ENSP00000262518	208	4	417	Hs_ps1-2	H
ENSP00000262518	146	4	417	Hs_ps1-2	L
ENSP00000262518	20	5	68	Hs_ps1-2	E
ENSP00000262518	0	5	68	Hs_ps1-2	H
ENSP00000262518	48	5	68	Hs_ps1-2	L
ENSP00000262518	5	6	5	Hs_ps1-2	E
ENSP00000262518	0	6	5	Hs_ps1-2	H
ENSP00000262518	0	6	5	Hs_ps1-2	L
ENSP00000262518	3	7	3	Hs_ps1-2	E
ENSP00000262518	0	7	3	Hs_ps1-2	H
ENSP00000262518	0	7	3	Hs_ps1-2	L
ENSP00000262518	5	8	5	Hs_ps1-2	E
ENSP00000262518	0	8	5	Hs_ps1-2	H
ENSP00000262518	0	8	5	Hs_ps1-2	L
ENSP00000262518	44	9	457	Hs_ps1-2	E
ENSP00000262518	233	9	457	Hs_ps1-2	H
ENSP00000262518	180	9	457	Hs_ps1-2	L
ENSP00000262518	3	10	3	Hs_ps1-2	E
ENSP00000262518	0	10	3	Hs_ps1-2	H
ENSP00000262518	0	10	3	Hs_ps1-2	L
ENSP00000262518	3	11	3	Hs_ps1-2	E
ENSP00000262518	0	11	3	Hs_ps1-2	H
ENSP00000262518	0	11	3	Hs_ps1-2	L
ENSP00000262518	12	12	72	Hs_ps1-2	E
ENSP00000262518	10	12	72	Hs_ps1-2	H
ENSP00000262518	50	12	72	Hs_ps1-2	L
ENSP00000262518	3	13	28	Hs_ps1-2	E
ENSP00000262518	4	13	28	Hs_ps1-2	H
ENSP00000262518	21	13	28	Hs_ps1-2	L
ENSP00000262518	2	14	2	Hs_ps1-2	E
ENSP00000262518	0	14	2	Hs_ps1-2	H
ENSP00000262518	0	14	2	Hs_ps1-2	L
ENSP00000262518	3	15	22	Hs_ps1-2	E
ENSP00000262518	4	15	22	Hs_ps1-2	H
ENSP00000262518	15	15	22	Hs_ps1-2	L
ENSP00000262518	7	16	7	Hs_ps1-2	E
ENSP00000262518	0	16	7	Hs_ps1-2	H
ENSP00000262518	0	16	7	Hs_ps1-2	L
ENSP00000262518	10	17	50	Hs_ps1-2	E
ENSP00000262518	11	17	50	Hs_ps1-2	H
ENSP00000262518	29	17	50	Hs_ps1-2	L
ENSP00000262518	4	18	25	Hs_ps1-2	E
ENSP00000262518	0	18	25	Hs_ps1-2	H
ENSP00000262518	21	18	25	Hs_ps1-2	L
Hs_JP201901_46	34	1	73	Hs_ps31	E
Hs_JP201901_46	0	1	73	Hs_ps31	H
Hs_JP201901_46	39	1	73	Hs_ps31	L
None_protein165760	5	1	40	Hs_igen	E
None_protein165760	0	1	40	Hs_igen	H
None_protein165760	35	1	40	Hs_igen	L
None_protein939680	17	1	93	Hs_igen	E
None_protein939680	31	1	93	Hs_igen	H
None_protein939680	45	1	93	Hs_igen	L
ENSP00000378517	7	1	15	Hs_ps13-17	E
ENSP00000378517	7	1	15	Hs_ps13-17	H
ENSP00000378517	1	1	15	Hs_ps13-17	L
ENSP00000378517	0	2	22	Hs_ps13-17	E
ENSP00000378517	6	2	22	Hs_ps13-17	H
ENSP00000378517	16	2	22	Hs_ps13-17	L
None_protein747970	11	1	99	Hs_igen	E
None_protein747970	13	1	99	Hs_igen	H
None_protein747970	75	1	99	Hs_igen	L
None_protein1132929	4	1	43	Hs_igen	E
None_protein1132929	13	1	43	Hs_igen	H
None_protein1132929	26	1	43	Hs_igen	L
Hs_rnd_gnm3_974994	16	1	123	Hs_rand	E
Hs_rnd_gnm3_974994	61	1	123	Hs_rand	H
Hs_rnd_gnm3_974994	46	1	123	Hs_rand	L
None_protein1127914	16	1	53	Hs_igen	E
None_protein1127914	26	1	53	Hs_igen	H
None_protein1127914	11	1	53	Hs_igen	L
Baz_Hs_158	27	1	65	Hs_ps31	E
Baz_Hs_158	3	1	65	Hs_ps31	H
Baz_Hs_158	35	1	65	Hs_ps31	L
Baz_Hs_155	12	1	70	Hs_ps13-17	E
Baz_Hs_155	24	1	70	Hs_ps13-17	H
Baz_Hs_155	34	1	70	Hs_ps13-17	L
Hs_rnd_gnm9_1165709	44	1	95	Hs_rand	E
Hs_rnd_gnm9_1165709	0	1	95	Hs_rand	H
Hs_rnd_gnm9_1165709	51	1	95	Hs_rand	L
ENSP00000383938	5	1	18	Hs_ps1-2	E
ENSP00000383938	9	1	18	Hs_ps1-2	H
ENSP00000383938	4	1	18	Hs_ps1-2	L
ENSP00000383938	4	2	4	Hs_ps1-2	E
ENSP00000383938	0	2	4	Hs_ps1-2	H
ENSP00000383938	0	2	4	Hs_ps1-2	L
ENSP00000383938	3	3	3	Hs_ps1-2	E
ENSP00000383938	0	3	3	Hs_ps1-2	H
ENSP00000383938	0	3	3	Hs_ps1-2	L
ENSP00000383938	2	4	2	Hs_ps1-2	E
ENSP00000383938	0	4	2	Hs_ps1-2	H
ENSP00000383938	0	4	2	Hs_ps1-2	L
ENSP00000383938	7	5	47	Hs_ps1-2	E
ENSP00000383938	0	5	47	Hs_ps1-2	H
ENSP00000383938	40	5	47	Hs_ps1-2	L
None_protein459014	14	1	80	Hs_igen	E
None_protein459014	36	1	80	Hs_igen	H
None_protein459014	30	1	80	Hs_igen	L
ENSP00000289359	35	1	249	Hs_ps1-2	E
ENSP00000289359	110	1	249	Hs_ps1-2	H
ENSP00000289359	104	1	249	Hs_ps1-2	L
Hs_rnd_gnm9_907692	29	1	140	Hs_rand	E
Hs_rnd_gnm9_907692	27	1	140	Hs_rand	H
Hs_rnd_gnm9_907692	84	1	140	Hs_rand	L
None_protein1102145	12	1	57	Hs_igen	E
None_protein1102145	13	1	57	Hs_igen	H
None_protein1102145	32	1	57	Hs_igen	L
ENSP00000476267	119	1	345	Hs_ps1-2	E
ENSP00000476267	84	1	345	Hs_ps1-2	H
ENSP00000476267	142	1	345	Hs_ps1-2	L
None_protein683489	3	1	42	Hs_igen	E
None_protein683489	15	1	42	Hs_igen	H
None_protein683489	24	1	42	Hs_igen	L
ENSP00000325875	110	1	724	Hs_ps1-2	E
ENSP00000325875	315	1	724	Hs_ps1-2	H
ENSP00000325875	299	1	724	Hs_ps1-2	L
None_protein936428	0	1	51	Hs_igen	E
None_protein936428	46	1	51	Hs_igen	H
None_protein936428	5	1	51	Hs_igen	L
Hs_rnd_gnm9_619527	10	1	54	Hs_rand	E
Hs_rnd_gnm9_619527	10	1	54	Hs_rand	H
Hs_rnd_gnm9_619527	34	1	54	Hs_rand	L
ENSP00000396722	192	1	355	Hs_ps1-2	E
ENSP00000396722	0	1	355	Hs_ps1-2	H
ENSP00000396722	163	1	355	Hs_ps1-2	L
None_protein245442	10	1	63	Hs_igen	E
None_protein245442	15	1	63	Hs_igen	H
None_protein245442	38	1	63	Hs_igen	L
None_protein338073	8	1	87	Hs_igen	E
None_protein338073	27	1	87	Hs_igen	H
None_protein338073	52	1	87	Hs_igen	L
Raj_Hs_3144	17	1	103	Hs_ps31	E
Raj_Hs_3144	32	1	103	Hs_ps31	H
Raj_Hs_3144	54	1	103	Hs_ps31	L
None_protein297972	12	1	127	Hs_igen	E
None_protein297972	49	1	127	Hs_igen	H
None_protein297972	66	1	127	Hs_igen	L
Hs_rnd_gnm8_197683	2	1	40	Hs_rand	E
Hs_rnd_gnm8_197683	10	1	40	Hs_rand	H
Hs_rnd_gnm8_197683	28	1	40	Hs_rand	L
Hs_rnd_gnm8_1018474	22	1	76	Hs_rand	E
Hs_rnd_gnm8_1018474	17	1	76	Hs_rand	H
Hs_rnd_gnm8_1018474	37	1	76	Hs_rand	L
ENSP00000281513	173	1	455	Hs_ps1-2	E
ENSP00000281513	17	1	455	Hs_ps1-2	H
ENSP00000281513	265	1	455	Hs_ps1-2	L
ENSP00000281513	8	2	126	Hs_ps1-2	E
ENSP00000281513	71	2	126	Hs_ps1-2	H
ENSP00000281513	47	2	126	Hs_ps1-2	L
ENSP00000281513	5	3	789	Hs_ps1-2	E
ENSP00000281513	508	3	789	Hs_ps1-2	H
ENSP00000281513	276	3	789	Hs_ps1-2	L
ENSP00000281513	4	4	896	Hs_ps1-2	E
ENSP00000281513	594	4	896	Hs_ps1-2	H
ENSP00000281513	298	4	896	Hs_ps1-2	L
Hs_rnd_gnm6_749991	31	1	89	Hs_rand	E
Hs_rnd_gnm6_749991	7	1	89	Hs_rand	H
Hs_rnd_gnm6_749991	51	1	89	Hs_rand	L
None_protein531057	0	1	51	Hs_igen	E
None_protein531057	43	1	51	Hs_igen	H
None_protein531057	8	1	51	Hs_igen	L
ENSP00000326119	0	1	54	Hs_ps13-17	E
ENSP00000326119	28	1	54	Hs_ps13-17	H
ENSP00000326119	26	1	54	Hs_ps13-17	L
ENSP00000277982	15	1	29	Hs_ps1-2	E
ENSP00000277982	0	1	29	Hs_ps1-2	H
ENSP00000277982	14	1	29	Hs_ps1-2	L
ENSP00000277982	28	2	55	Hs_ps1-2	E
ENSP00000277982	0	2	55	Hs_ps1-2	H
ENSP00000277982	27	2	55	Hs_ps1-2	L
ENSP00000277982	21	3	58	Hs_ps1-2	E
ENSP00000277982	0	3	58	Hs_ps1-2	H
ENSP00000277982	37	3	58	Hs_ps1-2	L
Hs_rnd_gnm1_1063387	23	1	110	Hs_rand	E
Hs_rnd_gnm1_1063387	16	1	110	Hs_rand	H
Hs_rnd_gnm1_1063387	71	1	110	Hs_rand	L
ENSP00000490418	5	1	55	Hs_ps20-21	E
ENSP00000490418	19	1	55	Hs_ps20-21	H
ENSP00000490418	31	1	55	Hs_ps20-21	L
Hs_rnd_gnm1_1156574	32	1	116	Hs_rand	E
Hs_rnd_gnm1_1156574	29	1	116	Hs_rand	H
Hs_rnd_gnm1_1156574	55	1	116	Hs_rand	L
ENSP00000480333	40	1	214	Hs_ps1-2	E
ENSP00000480333	28	1	214	Hs_ps1-2	H
ENSP00000480333	146	1	214	Hs_ps1-2	L
ENSP00000328307	4	1	4	Hs_ps1-2	E
ENSP00000328307	0	1	4	Hs_ps1-2	H
ENSP00000328307	0	1	4	Hs_ps1-2	L
ENSP00000328307	0	2	54	Hs_ps1-2	E
ENSP00000328307	25	2	54	Hs_ps1-2	H
ENSP00000328307	29	2	54	Hs_ps1-2	L
ENSP00000328420	73	1	157	Hs_ps13-17	E
ENSP00000328420	0	1	157	Hs_ps13-17	H
ENSP00000328420	84	1	157	Hs_ps13-17	L
None_protein205398	0	1	43	Hs_igen	E
None_protein205398	35	1	43	Hs_igen	H
None_protein205398	8	1	43	Hs_igen	L
None_protein306671	28	1	63	Hs_igen	E
None_protein306671	0	1	63	Hs_igen	H
None_protein306671	35	1	63	Hs_igen	L
None_protein1046860	11	1	47	Hs_igen	E
None_protein1046860	7	1	47	Hs_igen	H
None_protein1046860	29	1	47	Hs_igen	L
ENSP00000454770	0	1	251	Hs_ps1-2	E
ENSP00000454770	124	1	251	Hs_ps1-2	H
ENSP00000454770	127	1	251	Hs_ps1-2	L
ENSP00000365261	8	1	104	Hs_ps20-21	E
ENSP00000365261	43	1	104	Hs_ps20-21	H
ENSP00000365261	53	1	104	Hs_ps20-21	L
None_protein118070	18	1	63	Hs_igen	E
None_protein118070	0	1	63	Hs_igen	H
None_protein118070	45	1	63	Hs_igen	L
Hs_rnd_gnm6_919225	19	1	63	Hs_rand	E
Hs_rnd_gnm6_919225	0	1	63	Hs_rand	H
Hs_rnd_gnm6_919225	44	1	63	Hs_rand	L
Hs_rnd_gnm7_1111020	5	1	47	Hs_rand	E
Hs_rnd_gnm7_1111020	6	1	47	Hs_rand	H
Hs_rnd_gnm7_1111020	36	1	47	Hs_rand	L
Hs_rnd_gnm2_191771	0	1	44	Hs_rand	E
Hs_rnd_gnm2_191771	36	1	44	Hs_rand	H
Hs_rnd_gnm2_191771	8	1	44	Hs_rand	L
ENSP00000400669	0	1	449	Hs_ps1-2	E
ENSP00000400669	419	1	449	Hs_ps1-2	H
ENSP00000400669	30	1	449	Hs_ps1-2	L
Hs_rnd_gnm2_79341	9	1	47	Hs_rand	E
Hs_rnd_gnm2_79341	7	1	47	Hs_rand	H
Hs_rnd_gnm2_79341	31	1	47	Hs_rand	L
ENSP00000362273	3	1	363	Hs_ps1-2	E
ENSP00000362273	205	1	363	Hs_ps1-2	H
ENSP00000362273	155	1	363	Hs_ps1-2	L
ENSP00000263269	52	1	275	Hs_ps1-2	E
ENSP00000263269	103	1	275	Hs_ps1-2	H
ENSP00000263269	120	1	275	Hs_ps1-2	L
ENSP00000263269	72	2	1016	Hs_ps1-2	E
ENSP00000263269	195	2	1016	Hs_ps1-2	H
ENSP00000263269	749	2	1016	Hs_ps1-2	L
ENSP00000440864	2	1	43	Hs_ps1-2	E
ENSP00000440864	21	1	43	Hs_ps1-2	H
ENSP00000440864	20	1	43	Hs_ps1-2	L
ENSP00000440864	10	2	198	Hs_ps1-2	E
ENSP00000440864	135	2	198	Hs_ps1-2	H
ENSP00000440864	53	2	198	Hs_ps1-2	L
Hs_rnd_gnm7_235873	10	1	41	Hs_rand	E
Hs_rnd_gnm7_235873	14	1	41	Hs_rand	H
Hs_rnd_gnm7_235873	17	1	41	Hs_rand	L
ENSP00000415662	0	1	164	Hs_ps1-2	E
ENSP00000415662	99	1	164	Hs_ps1-2	H
ENSP00000415662	65	1	164	Hs_ps1-2	L
Hs_rnd_gnm2_577016	9	1	47	Hs_rand	E
Hs_rnd_gnm2_577016	10	1	47	Hs_rand	H
