protein	group	loop_length
ENSP00000319281	pfam	0
ENSP00000319281	pfam_whole	0
ENSP00000260442	pfam	10
ENSP00000260442	pfam_whole	12
ENSP00000309103	pfam	24
ENSP00000309103	pfam_whole	24
ENSP00000473842	pfam	19
ENSP00000473842	pfam_whole	19
ENSP00000432104	pfam	20
ENSP00000432104	pfam_whole	32
ENSP00000318822	pfam	19
ENSP00000318822	pfam_whole	19
ENSP00000227525	pfam	9
ENSP00000227525	pfam_whole	12
ENSP00000367172	pfam	12
ENSP00000367172	pfam_whole	12
ENSP00000329292	pfam	10
ENSP00000329292	pfam_whole	11
ENSP00000316152	pfam	17
ENSP00000316152	pfam_whole	17
ENSP00000455052	pfam	12
ENSP00000455052	pfam_whole	20
ENSP00000226284	pfam	270
ENSP00000226284	pfam_whole	270
ENSP00000447803	pfam	0
ENSP00000447803	pfam_whole	71
ENSP00000484302	pfam	16
ENSP00000484302	pfam_whole	24
ENSP00000425721	pfam	0
ENSP00000425721	pfam_whole	0
ENSP00000425721	pfam	0
ENSP00000425721	pfam_whole	0
ENSP00000425721	pfam	0
ENSP00000425721	pfam_whole	0
ENSP00000425721	pfam	0
ENSP00000425721	pfam_whole	0
ENSP00000364219	pfam	18
ENSP00000364219	pfam_whole	18
ENSP00000296238	pfam	24
ENSP00000296238	pfam_whole	24
ENSP00000296435	pfam	0
ENSP00000296435	pfam_whole	19
ENSP00000296435	pfam	19
ENSP00000296435	pfam_whole	19
ENSP00000309681	pfam	50
ENSP00000309681	pfam_whole	50
ENSP00000351727	pfam	68
ENSP00000351727	pfam_whole	68
ENSP00000314620	pfam	41
ENSP00000314620	pfam_whole	41
ENSP00000300184	pfam	30
ENSP00000300184	pfam_whole	30
ENSP00000278865	pfam	16
ENSP00000278865	pfam_whole	16
ENSP00000435844	pfam	31
ENSP00000435844	pfam_whole	31
ENSP00000278888	pfam	21
ENSP00000278888	pfam_whole	22
ENSP00000016913	pfam	9
ENSP00000016913	pfam_whole	9
ENSP00000300226	pfam	7
ENSP00000300226	pfam_whole	14
ENSP00000311862	pfam	8
ENSP00000311862	pfam_whole	43
ENSP00000381956	pfam	6
ENSP00000381956	pfam_whole	6
ENSP00000477871	pfam	3
ENSP00000477871	pfam_whole	18
ENSP00000310036	pfam	20
ENSP00000310036	pfam_whole	20
ENSP00000355361	pfam	7
ENSP00000355361	pfam_whole	18
ENSP00000482523	pfam	32
ENSP00000482523	pfam_whole	32
ENSP00000418983	pfam	36
ENSP00000418983	pfam_whole	36
ENSP00000309189	pfam	9
ENSP00000309189	pfam_whole	51
ENSP00000450114	pfam	41
ENSP00000450114	pfam_whole	41
ENSP00000466577	pfam	0
ENSP00000466577	pfam_whole	15
ENSP00000355370	pfam	28
ENSP00000355370	pfam_whole	28
ENSP00000309338	pfam	21
ENSP00000309338	pfam_whole	25
ENSP00000304327	pfam	19
ENSP00000304327	pfam_whole	19
ENSP00000327513	pfam	8
ENSP00000327513	pfam_whole	10
ENSP00000299340	pfam	14
ENSP00000299340	pfam_whole	14
ENSP00000335306	pfam	17
ENSP00000335306	pfam_whole	66
ENSP00000372139	pfam	10
ENSP00000372139	pfam_whole	24
ENSP00000328359	pfam	11
ENSP00000328359	pfam_whole	14
ENSP00000297439	pfam	8
ENSP00000297439	pfam_whole	8
ENSP00000322191	pfam	7
ENSP00000322191	pfam_whole	10
ENSP00000372139	pfam	24
ENSP00000372139	pfam_whole	24
ENSP00000328359	pfam	14
ENSP00000328359	pfam_whole	14
ENSP00000390590	pfam	0
ENSP00000390590	pfam_whole	0
ENSP00000298295	pfam	100
ENSP00000298295	pfam_whole	100
ENSP00000330509	pfam	16
ENSP00000330509	pfam_whole	16
ENSP00000340935	pfam	0
ENSP00000340935	pfam_whole	0
ENSP00000306900	pfam	0
ENSP00000306900	pfam_whole	13
ENSP00000335306	pfam	0
ENSP00000335306	pfam_whole	66
ENSP00000335306	pfam	3
ENSP00000335306	pfam_whole	66
ENSP00000250056	pfam	103
ENSP00000250056	pfam_whole	103
ENSP00000330240	pfam	0
ENSP00000330240	pfam_whole	80
ENSP00000412150	pfam	0
ENSP00000412150	pfam_whole	0
ENSP00000305875	pfam	64
ENSP00000305875	pfam_whole	64
ENSP00000295898	pfam	20
ENSP00000295898	pfam_whole	20
ENSP00000420610	pfam	9
ENSP00000420610	pfam_whole	9
ENSP00000327950	pfam	31
ENSP00000327950	pfam_whole	32
ENSP00000331691	pfam	21
ENSP00000331691	pfam_whole	21
ENSP00000338164	pfam	16
ENSP00000338164	pfam_whole	16
ENSP00000360046	pfam	27
ENSP00000360046	pfam_whole	96
ENSP00000360046	pfam	29
ENSP00000360046	pfam_whole	96
ENSP00000366203	pfam	0
ENSP00000366203	pfam_whole	12
ENSP00000488643	pfam	6
ENSP00000488643	pfam_whole	6
ENSP00000488907	pfam	10
ENSP00000488907	pfam_whole	10
ENSP00000328335	pfam	6
ENSP00000328335	pfam_whole	6
ENSP00000323304	pfam	29
ENSP00000323304	pfam_whole	29
ENSP00000384670	pfam	0
ENSP00000384670	pfam_whole	1560
ENSP00000284245	pfam	21
ENSP00000284245	pfam_whole	21
ENSP00000447795	pfam	39
ENSP00000447795	pfam_whole	39
ENSP00000461933	pfam	14
ENSP00000461933	pfam_whole	14
ENSP00000306320	pfam	27
ENSP00000306320	pfam_whole	27
ENSP00000310338	pfam	0
ENSP00000310338	pfam_whole	0
ENSP00000387124	pfam	0
ENSP00000387124	pfam_whole	0
ENSP00000362743	pfam	28
ENSP00000362743	pfam_whole	39
ENSP00000490456	pfam	0
ENSP00000490456	pfam_whole	40
ENSP00000297819	pfam	38
ENSP00000297819	pfam_whole	38
ENSP00000475146	pfam	19
ENSP00000475146	pfam_whole	19
ENSP00000491327	pfam	0
ENSP00000491327	pfam_whole	0
ENSP00000354874	pfam	0
ENSP00000354874	pfam_whole	21
ENSP00000289989	pfam	69
ENSP00000289989	pfam_whole	69
ENSP00000216071	pfam	64
ENSP00000216071	pfam_whole	64
ENSP00000465822	pfam	0
ENSP00000465822	pfam_whole	0
ENSP00000340887	pfam	80
ENSP00000340887	pfam_whole	80
ENSP00000383456	pfam	38
ENSP00000383456	pfam_whole	98
ENSP00000414909	pfam	0
ENSP00000414909	pfam_whole	355
ENSP00000333208	pfam	3
ENSP00000333208	pfam_whole	66
ENSP00000384117	pfam	0
ENSP00000384117	pfam_whole	0
ENSP00000356093	pfam	64
ENSP00000356093	pfam_whole	64
ENSP00000284437	pfam	239
ENSP00000284437	pfam_whole	239
ENSP00000467565	pfam	19
ENSP00000467565	pfam_whole	19
ENSP00000292779	pfam	70
ENSP00000292779	pfam_whole	70
ENSP00000478886	pfam	28
ENSP00000478886	pfam_whole	34
ENSP00000364363	pfam	7
ENSP00000364363	pfam_whole	14
ENSP00000299415	pfam	27
ENSP00000299415	pfam_whole	27
ENSP00000386450	pfam	6
ENSP00000386450	pfam_whole	25
ENSP00000360824	pfam	29
ENSP00000360824	pfam_whole	29
ENSP00000391404	pfam	70
ENSP00000391404	pfam_whole	70
ENSP00000401498	pfam	46
ENSP00000401498	pfam_whole	46
ENSP00000284818	pfam	16
ENSP00000284818	pfam_whole	16
ENSP00000230568	pfam	14
ENSP00000230568	pfam_whole	14
ENSP00000358045	pfam	0
ENSP00000358045	pfam_whole	225
ENSP00000358045	pfam	54
ENSP00000358045	pfam_whole	225
ENSP00000479243	pfam	28
ENSP00000479243	pfam_whole	101
ENSP00000379383	pfam	130
ENSP00000379383	pfam_whole	802
ENSP00000296420	pfam	0
ENSP00000296420	pfam_whole	0
ENSP00000204615	pfam	16
ENSP00000204615	pfam_whole	16
ENSP00000247270	pfam	108
ENSP00000247270	pfam_whole	108
ENSP00000463981	pfam	37
ENSP00000463981	pfam_whole	37
ENSP00000384648	pfam	0
ENSP00000384648	pfam_whole	0
ENSP00000382234	pfam	3
ENSP00000382234	pfam_whole	3
ENSP00000270824	pfam	62
ENSP00000270824	pfam_whole	62
ENSP00000440509	pfam	8
ENSP00000440509	pfam_whole	12
ENSP00000469613	pfam	9
ENSP00000469613	pfam_whole	27
ENSP00000424015	pfam	0
ENSP00000424015	pfam_whole	0
ENSP00000408343	pfam	0
ENSP00000408343	pfam_whole	0
ENSP00000312299	pfam	0
ENSP00000312299	pfam_whole	0
ENSP00000478995	pfam	18
ENSP00000478995	pfam_whole	62
ENSP00000478995	pfam	16
ENSP00000478995	pfam_whole	62
ENSP00000365320	pfam	0
ENSP00000365320	pfam_whole	0
ENSP00000365320	pfam	0
ENSP00000365320	pfam_whole	0
ENSP00000385415	pfam	0
ENSP00000385415	pfam_whole	0
ENSP00000355421	pfam	0
ENSP00000355421	pfam_whole	0
ENSP00000483811	pfam	0
ENSP00000483811	pfam_whole	0
ENSP00000371119	pfam	0
ENSP00000371119	pfam_whole	0
ENSP00000371117	pfam	0
ENSP00000371117	pfam_whole	0
ENSP00000416249	pfam	0
ENSP00000416249	pfam_whole	0
ENSP00000371141	pfam	0
ENSP00000371141	pfam_whole	0
ENSP00000409832	pfam	0
ENSP00000409832	pfam_whole	0
ENSP00000478568	pfam	0
ENSP00000478568	pfam_whole	0
ENSP00000349884	pfam	2
ENSP00000349884	pfam_whole	18
ENSP00000353465	pfam	22
ENSP00000353465	pfam_whole	24
ENSP00000353465	pfam	11
ENSP00000353465	pfam_whole	24
ENSP00000225474	pfam	17
ENSP00000225474	pfam_whole	17
ENSP00000334940	pfam	0
ENSP00000334940	pfam_whole	0
ENSP00000276414	pfam	0
ENSP00000276414	pfam_whole	19
ENSP00000456138	pfam	0
ENSP00000456138	pfam_whole	8
ENSP00000456138	pfam	0
ENSP00000456138	pfam_whole	8
ENSP00000456138	pfam	8
ENSP00000456138	pfam_whole	8
ENSP00000455298	pfam	0
ENSP00000455298	pfam_whole	0
ENSP00000455298	pfam	0
ENSP00000455298	pfam_whole	0
ENSP00000455298	pfam	0
ENSP00000455298	pfam_whole	0
ENSP00000456894	pfam	0
ENSP00000456894	pfam_whole	3
ENSP00000456894	pfam	0
ENSP00000456894	pfam_whole	3
ENSP00000456894	pfam	3
ENSP00000456894	pfam_whole	3
ENSP00000370104	pfam	0
ENSP00000370104	pfam_whole	0
ENSP00000257572	pfam	9
ENSP00000257572	pfam_whole	9
ENSP00000452347	pfam	3
ENSP00000452347	pfam_whole	33
ENSP00000222304	pfam	10
ENSP00000222304	pfam_whole	10
ENSP00000420603	pfam	36
ENSP00000420603	pfam_whole	36
ENSP00000295809	pfam	14
ENSP00000295809	pfam_whole	240
ENSP00000295809	pfam	8
ENSP00000295809	pfam_whole	240
ENSP00000357123	pfam	16
ENSP00000357123	pfam_whole	130
ENSP00000357122	pfam	15
ENSP00000357122	pfam_whole	128
ENSP00000357112	pfam	14
ENSP00000357112	pfam_whole	56
ENSP00000414109	pfam	0
ENSP00000414109	pfam_whole	106
ENSP00000414109	pfam	0
ENSP00000414109	pfam_whole	106
ENSP00000414109	pfam	13
ENSP00000414109	pfam_whole	106
ENSP00000370123	pfam	0
ENSP00000370123	pfam_whole	0
ENSP00000482613	pfam	0
ENSP00000482613	pfam_whole	0
ENSP00000350848	pfam	0
ENSP00000350848	pfam_whole	0
ENSP00000350005	pfam	0
ENSP00000350005	pfam_whole	39
ENSP00000248089	pfam	22
ENSP00000248089	pfam_whole	22
ENSP00000238609	pfam	4
ENSP00000238609	pfam_whole	4
ENSP00000482635	pfam	7
ENSP00000482635	pfam_whole	7
ENSP00000325525	pfam	16
ENSP00000325525	pfam_whole	31
ENSP00000325525	pfam	21
ENSP00000325525	pfam_whole	31
ENSP00000325525	pfam	18
ENSP00000325525	pfam_whole	31
ENSP00000379580	pfam	16
ENSP00000379580	pfam_whole	31
ENSP00000379580	pfam	19
ENSP00000379580	pfam_whole	31
ENSP00000291759	pfam	21
ENSP00000291759	pfam_whole	23
ENSP00000291759	pfam	13
ENSP00000291759	pfam_whole	23
ENSP00000342215	pfam	21
ENSP00000342215	pfam_whole	31
ENSP00000342215	pfam	18
ENSP00000342215	pfam_whole	31
ENSP00000291633	pfam	21
ENSP00000291633	pfam_whole	32
ENSP00000291633	pfam	18
ENSP00000291633	pfam_whole	32
ENSP00000482591	pfam	15
ENSP00000482591	pfam_whole	23
ENSP00000345184	pfam	22
ENSP00000345184	pfam_whole	47
ENSP00000379651	pfam	12
ENSP00000379651	pfam_whole	23
ENSP00000454437	pfam	9
ENSP00000454437	pfam_whole	13
ENSP00000375613	pfam	21
ENSP00000375613	pfam_whole	76
ENSP00000335062	pfam	10
ENSP00000335062	pfam_whole	29
ENSP00000333919	pfam	14
ENSP00000333919	pfam_whole	75
ENSP00000343366	pfam	17
ENSP00000343366	pfam_whole	45
ENSP00000379651	pfam	19
ENSP00000379651	pfam_whole	23
ENSP00000291759	pfam	18
ENSP00000291759	pfam_whole	23
ENSP00000291759	pfam	13
ENSP00000291759	pfam_whole	23
ENSP00000345184	pfam	20
ENSP00000345184	pfam_whole	47
ENSP00000356925	pfam	12
ENSP00000356925	pfam_whole	15
ENSP00000356925	pfam	13
ENSP00000356925	pfam_whole	15
ENSP00000356936	pfam	13
ENSP00000356936	pfam_whole	40
ENSP00000356936	pfam	11
ENSP00000356936	pfam_whole	40
ENSP00000375613	pfam	19
ENSP00000375613	pfam_whole	76
ENSP00000404236	pfam	19
ENSP00000404236	pfam_whole	22
ENSP00000325525	pfam	16
ENSP00000325525	pfam_whole	31
ENSP00000379580	pfam	16
ENSP00000379580	pfam_whole	31
ENSP00000375622	pfam	21
ENSP00000375622	pfam_whole	61
ENSP00000343366	pfam	17
ENSP00000343366	pfam_whole	45
ENSP00000301202	pfam	21
ENSP00000301202	pfam_whole	21
ENSP00000454437	pfam	9
ENSP00000454437	pfam_whole	13
ENSP00000343366	pfam	17
ENSP00000343366	pfam_whole	45
ENSP00000354566	pfam	8
ENSP00000354566	pfam_whole	16
ENSP00000354566	pfam	8
ENSP00000354566	pfam_whole	16
ENSP00000263339	pfam	13
ENSP00000263339	pfam_whole	38
ENSP00000280357	pfam	14
ENSP00000280357	pfam_whole	19
ENSP00000259212	pfam	12
ENSP00000259212	pfam_whole	12
ENSP00000328420	pfam	15
ENSP00000328420	pfam_whole	15
ENSP00000259211	pfam	8
ENSP00000259211	pfam_whole	11
ENSP00000259205	pfam	13
ENSP00000259205	pfam_whole	13
ENSP00000263326	pfam	15
ENSP00000263326	pfam_whole	21
ENSP00000229134	pfam	5
ENSP00000229134	pfam_whole	16
ENSP00000264563	pfam	18
ENSP00000264563	pfam_whole	18
ENSP00000296545	pfam	14
ENSP00000296545	pfam_whole	14
ENSP00000264497	pfam	27
ENSP00000264497	pfam_whole	27
ENSP00000263339	pfam	38
ENSP00000263339	pfam_whole	38
ENSP00000228534	pfam	22
ENSP00000228534	pfam_whole	22
ENSP00000481633	pfam	15
ENSP00000481633	pfam_whole	27
ENSP00000333639	pfam	14
ENSP00000333639	pfam_whole	27
ENSP00000329991	pfam	15
ENSP00000329991	pfam_whole	25
ENSP00000288098	pfam	8
ENSP00000288098	pfam_whole	11
ENSP00000263851	pfam	22
ENSP00000263851	pfam_whole	22
ENSP00000484078	pfam	8
ENSP00000484078	pfam_whole	13
ENSP00000324756	pfam	9
ENSP00000324756	pfam_whole	11
ENSP00000219235	pfam	8
ENSP00000219235	pfam_whole	13
ENSP00000456830	pfam	11
ENSP00000456830	pfam_whole	269
ENSP00000458316	pfam	38
ENSP00000458316	pfam_whole	38
ENSP00000371054	pfam	55
ENSP00000371054	pfam_whole	55
ENSP00000381760	pfam	0
ENSP00000381760	pfam_whole	0
ENSP00000381760	pfam	0
ENSP00000381760	pfam_whole	0
ENSP00000284292	pfam	0
ENSP00000284292	pfam_whole	6
ENSP00000354566	pfam	0
ENSP00000354566	pfam_whole	16
ENSP00000327786	pfam	11
ENSP00000327786	pfam_whole	32
ENSP00000293405	pfam	7
ENSP00000293405	pfam_whole	17
ENSP00000438895	pfam	8
ENSP00000438895	pfam_whole	12
ENSP00000378712	pfam	11
ENSP00000378712	pfam_whole	24
ENSP00000327786	pfam	12
ENSP00000327786	pfam_whole	32
ENSP00000371715	pfam	15
ENSP00000371715	pfam_whole	22
ENSP00000342162	pfam	19
ENSP00000342162	pfam_whole	92
ENSP00000316130	pfam	19
ENSP00000316130	pfam_whole	22
ENSP00000381468	pfam	6
ENSP00000381468	pfam_whole	47
ENSP00000407497	pfam	9
ENSP00000407497	pfam_whole	39
ENSP00000407497	pfam	9
ENSP00000407497	pfam_whole	39
ENSP00000381468	pfam	6
ENSP00000381468	pfam_whole	47
ENSP00000330720	pfam	0
ENSP00000330720	pfam_whole	0
ENSP00000330720	pfam	0
ENSP00000330720	pfam_whole	0
ENSP00000330720	pfam	0
ENSP00000330720	pfam_whole	0
ENSP00000419705	pfam	24
ENSP00000419705	pfam_whole	24
ENSP00000485957	pfam	0
ENSP00000485957	pfam_whole	0
ENSP00000457704	pfam	2
ENSP00000457704	pfam_whole	181
ENSP00000457704	pfam	5
ENSP00000457704	pfam_whole	181
ENSP00000345797	pfam	5
ENSP00000345797	pfam_whole	25
ENSP00000385560	pfam	2
ENSP00000385560	pfam_whole	63
ENSP00000435171	pfam	2
ENSP00000435171	pfam_whole	33
ENSP00000311957	pfam	2
ENSP00000311957	pfam_whole	35
ENSP00000472894	pfam	2
ENSP00000472894	pfam_whole	25
ENSP00000470969	pfam	2
ENSP00000470969	pfam_whole	44
ENSP00000375656	pfam	2
ENSP00000375656	pfam_whole	81
ENSP00000472160	pfam	4
ENSP00000472160	pfam_whole	15
ENSP00000455659	pfam	2
ENSP00000455659	pfam_whole	6
ENSP00000468271	pfam	2
ENSP00000468271	pfam_whole	47
ENSP00000418647	pfam	2
ENSP00000418647	pfam_whole	2
ENSP00000471613	pfam	12
ENSP00000471613	pfam_whole	24
ENSP00000477043	pfam	2
ENSP00000477043	pfam_whole	6
ENSP00000373254	pfam	2
ENSP00000373254	pfam_whole	35
ENSP00000472277	pfam	9
ENSP00000472277	pfam_whole	18
ENSP00000338796	pfam	2
ENSP00000338796	pfam_whole	129
ENSP00000418647	pfam	0
ENSP00000418647	pfam_whole	2
ENSP00000418647	pfam	0
ENSP00000418647	pfam_whole	2
ENSP00000418647	pfam	0
ENSP00000418647	pfam_whole	2
ENSP00000418647	pfam	0
ENSP00000418647	pfam_whole	2
ENSP00000418647	pfam	0
ENSP00000418647	pfam_whole	2
ENSP00000418647	pfam	0
ENSP00000418647	pfam_whole	2
ENSP00000339356	pfam	21
ENSP00000339356	pfam_whole	21
ENSP00000358857	pfam	9
ENSP00000358857	pfam_whole	180
ENSP00000376278	pfam	4
ENSP00000376278	pfam_whole	4
ENSP00000312652	pfam	27
ENSP00000312652	pfam_whole	27
ENSP00000215781	pfam	24
ENSP00000215781	pfam_whole	24
ENSP00000249075	pfam	28
ENSP00000249075	pfam_whole	28
ENSP00000414506	pfam	11
ENSP00000414506	pfam_whole	11
ENSP00000277508	pfam	15
ENSP00000277508	pfam_whole	15
ENSP00000361104	pfam	12
ENSP00000361104	pfam_whole	13
ENSP00000360841	pfam	11
ENSP00000360841	pfam_whole	13
ENSP00000263598	pfam	11
ENSP00000263598	pfam_whole	13
ENSP00000277526	pfam	12
ENSP00000277526	pfam_whole	20
ENSP00000259396	pfam	7
ENSP00000259396	pfam_whole	24
ENSP00000394936	pfam	6
ENSP00000394936	pfam_whole	24
ENSP00000482512	pfam	11
ENSP00000482512	pfam_whole	13
ENSP00000339621	pfam	13
ENSP00000339621	pfam_whole	14
ENSP00000490264	pfam	13
ENSP00000490264	pfam_whole	15
ENSP00000429399	pfam	2
ENSP00000429399	pfam_whole	21
ENSP00000478061	pfam	0
ENSP00000478061	pfam_whole	0
ENSP00000362638	pfam	0
ENSP00000362638	pfam_whole	0
ENSP00000362638	pfam	0
ENSP00000362638	pfam_whole	0
ENSP00000457164	pfam	0
ENSP00000457164	pfam_whole	9
ENSP00000216968	pfam	7
ENSP00000216968	pfam_whole	17
ENSP00000412457	pfam	15
ENSP00000412457	pfam_whole	15
ENSP00000216968	pfam	17
ENSP00000216968	pfam_whole	17
ENSP00000335074	pfam	3
ENSP00000335074	pfam_whole	18
ENSP00000335074	pfam	12
ENSP00000335074	pfam_whole	18
ENSP00000376823	pfam	0
ENSP00000376823	pfam_whole	0
ENSP00000362170	pfam	14
ENSP00000362170	pfam_whole	138
ENSP00000402995	pfam	20
ENSP00000402995	pfam_whole	21
ENSP00000381105	pfam	42
ENSP00000381105	pfam_whole	42
ENSP00000334854	pfam	12
ENSP00000334854	pfam_whole	20
ENSP00000327213	pfam	0
ENSP00000327213	pfam_whole	1117
ENSP00000327213	pfam	0
ENSP00000327213	pfam_whole	1117
ENSP00000327213	pfam	0
ENSP00000327213	pfam_whole	1117
ENSP00000327213	pfam	0
ENSP00000327213	pfam_whole	1117
ENSP00000371116	pfam	0
ENSP00000371116	pfam_whole	0
ENSP00000371126	pfam	0
ENSP00000371126	pfam_whole	0
ENSP00000394623	pfam	0
ENSP00000394623	pfam_whole	0
ENSP00000407521	pfam	0
ENSP00000407521	pfam_whole	0
ENSP00000253262	pfam	0
ENSP00000253262	pfam_whole	0
ENSP00000361397	pfam	0
ENSP00000361397	pfam_whole	0
ENSP00000444896	pfam	0
ENSP00000444896	pfam_whole	0
ENSP00000444896	pfam	0
ENSP00000444896	pfam_whole	0
ENSP00000450095	pfam	7
ENSP00000450095	pfam_whole	7
ENSP00000436376	pfam	10
ENSP00000436376	pfam_whole	10
ENSP00000301908	pfam	9
ENSP00000301908	pfam_whole	24
ENSP00000335292	pfam	9
ENSP00000335292	pfam_whole	9
ENSP00000378517	pfam	0
ENSP00000378517	pfam_whole	277
ENSP00000378534	pfam	10
ENSP00000378534	pfam_whole	64
ENSP00000229243	pfam	27
ENSP00000229243	pfam_whole	204
ENSP00000332602	pfam	4
ENSP00000332602	pfam_whole	4
ENSP00000492570	pfam	0
ENSP00000492570	pfam_whole	0
ENSP00000479240	pfam	20
ENSP00000479240	pfam_whole	39
ENSP00000361337	pfam	0
ENSP00000361337	pfam_whole	24
ENSP00000326119	pfam	2
ENSP00000326119	pfam_whole	2
ENSP00000353742	pfam	0
ENSP00000353742	pfam_whole	0
ENSP00000330720	pfam	0
ENSP00000330720	pfam_whole	0
ENSP00000473204	pfam	11
ENSP00000473204	pfam_whole	11
ENSP00000357922	pfam	105
ENSP00000357922	pfam_whole	185
ENSP00000318131	pfam	17
ENSP00000318131	pfam_whole	17
ENSP00000490139	pfam	15
ENSP00000490139	pfam_whole	26
ENSP00000473036	pfam	17
ENSP00000473036	pfam_whole	17
ENSP00000294489	pfam	107
ENSP00000294489	pfam_whole	107
ENSP00000349274	pfam	28
ENSP00000349274	pfam_whole	1150
ENSP00000416126	pfam	0
ENSP00000416126	pfam_whole	34
ENSP00000309338	pfam	25
ENSP00000309338	pfam_whole	25
ENSP00000306900	pfam	9
ENSP00000306900	pfam_whole	13
ENSP00000368752	pfam	11
ENSP00000368752	pfam_whole	159
ENSP00000368752	pfam	0
ENSP00000368752	pfam_whole	159
ENSP00000409879	pfam	4
ENSP00000409879	pfam_whole	20
ENSP00000319590	pfam	0
ENSP00000319590	pfam_whole	0
ENSP00000407653	pfam	0
ENSP00000407653	pfam_whole	0
ENSP00000477815	pfam	21
ENSP00000477815	pfam_whole	95
ENSP00000252590	pfam	0
ENSP00000252590	pfam_whole	0
ENSP00000304336	pfam	11
ENSP00000304336	pfam_whole	11
ENSP00000357112	pfam	6
ENSP00000357112	pfam_whole	56
ENSP00000295809	pfam	5
ENSP00000295809	pfam_whole	240
ENSP00000357122	pfam	7
ENSP00000357122	pfam_whole	128
ENSP00000357123	pfam	7
ENSP00000357123	pfam_whole	130
Raj_Hs_172	pfam	5
Raj_Hs_172	pfam_whole	19
ENSP00000330269	pfam	8
ENSP00000330269	pfam_whole	40
ENSP00000345487	pfam	27
ENSP00000345487	pfam_whole	27
ENSP00000372410	pfam	20
ENSP00000372410	pfam_whole	20
ENSP00000243189	pfam	0
ENSP00000243189	pfam_whole	0
ENSP00000362574	pfam	256
ENSP00000362574	pfam_whole	256
ENSP00000481773	pfam	0
ENSP00000481773	pfam_whole	0
ENSP00000352447	pfam	0
ENSP00000352447	pfam_whole	0
ENSP00000301995	pfam	8
ENSP00000301995	pfam_whole	8
ENSP00000414109	pfam	8
ENSP00000414109	pfam_whole	106
ENSP00000242465	pfam	56
ENSP00000242465	pfam_whole	56
ENSP00000350633	pfam	9
ENSP00000350633	pfam_whole	37
ENSP00000296444	pfam	42
ENSP00000296444	pfam_whole	42
ENSP00000436897	pfam	4
ENSP00000436897	pfam_whole	4
ENSP00000297623	pfam	55
ENSP00000297623	pfam_whole	55
ENSP00000366248	pfam	0
ENSP00000366248	pfam_whole	18
ENSP00000275517	pfam	0
ENSP00000275517	pfam_whole	0
ENSP00000299140	pfam	1
ENSP00000299140	pfam_whole	25
ENSP00000299140	pfam	10
ENSP00000299140	pfam_whole	25
ENSP00000361597	pfam	12
ENSP00000361597	pfam_whole	12
ENSP00000274432	pfam	44
ENSP00000274432	pfam_whole	44
ENSP00000296435	pfam	19
ENSP00000296435	pfam_whole	19
ENSP00000316152	pfam	6
ENSP00000316152	pfam_whole	17
ENSP00000490917	pfam	15
ENSP00000490917	pfam_whole	15
ENSP00000357237	pfam	1
ENSP00000357237	pfam_whole	1
ENSP00000455698	pfam	5
ENSP00000455698	pfam_whole	67
ENSP00000326737	pfam	49
ENSP00000326737	pfam_whole	49
ENSP00000369293	pfam	5
ENSP00000369293	pfam_whole	72
ENSP00000291009	pfam	12
ENSP00000291009	pfam_whole	20
ENSP00000346130	pfam	12
ENSP00000346130	pfam_whole	12
ENSP00000341282	pfam	0
ENSP00000341282	pfam_whole	0
ENSP00000367911	pfam	0
ENSP00000367911	pfam_whole	0
