protein	loop_length
ENSP00000419162	2
ENSP00000419162	4
ENSP00000419162	4
ENSP00000478070	5
ENSP00000245796	38
ENSP00000409664	80
ENSP00000409664	9
ENSP00000409664	65
ENSP00000436042	13
ENSP00000436042	12
ENSP00000436042	7
ENSP00000436042	12
ENSP00000436042	25
ENSP00000436042	21
ENSP00000436042	28
ENSP00000243611	5
ENSP00000243611	5
ENSP00000216832	0
ENSP00000304769	8
ENSP00000304769	6
ENSP00000304769	6
ENSP00000304769	6
ENSP00000304769	6
ENSP00000304769	116
ENSP00000304769	4
ENSP00000304769	7
ENSP00000304769	6
ENSP00000298351	6
ENSP00000298351	5
ENSP00000479241	4
ENSP00000479241	8
ENSP00000479241	0
ENSP00000479241	3
ENSP00000479241	4
ENSP00000479241	11
ENSP00000479240	18
ENSP00000346874	11
ENSP00000449535	0
ENSP00000449535	7
ENSP00000447852	38
ENSP00000402280	211
ENSP00000236709	9
ENSP00000356438	127
ENSP00000436604	39
ENSP00000448112	5
ENSP00000448112	0
ENSP00000448112	1
ENSP00000325525	6
ENSP00000325525	11
ENSP00000274364	25
ENSP00000274364	0
ENSP00000274364	6
ENSP00000274364	115
ENSP00000490456	24
ENSP00000303570	19
ENSP00000263734	48
ENSP00000263734	169
ENSP00000263734	284
ENSP00000283415	98
ENSP00000334922	7
ENSP00000264818	23
ENSP00000476821	29
ENSP00000476821	7
ENSP00000372155	36
ENSP00000359510	953
ENSP00000347906	18
ENSP00000255266	2
ENSP00000255266	58
ENSP00000264657	0
ENSP00000264657	0
ENSP00000264657	3
ENSP00000268712	312
ENSP00000315006	5
ENSP00000315006	3
ENSP00000304604	92
ENSP00000304604	14
ENSP00000304604	30
ENSP00000304604	83
ENSP00000304604	43
ENSP00000304604	83
ENSP00000300738	8
ENSP00000300738	4
ENSP00000239449	12
ENSP00000239449	12
ENSP00000239449	7
ENSP00000239449	12
ENSP00000239449	24
ENSP00000239449	20
ENSP00000239440	225
ENSP00000239440	28
ENSP00000239440	218
ENSP00000239440	36
ENSP00000239440	29
ENSP00000309606	5
ENSP00000309606	6
ENSP00000309606	9
ENSP00000309606	6
ENSP00000309606	27
ENSP00000309606	6
ENSP00000309606	6
ENSP00000455298	0
ENSP00000455298	0
ENSP00000270642	3
ENSP00000270642	2
ENSP00000331327	4
ENSP00000331327	25
ENSP00000331327	6
ENSP00000332433	97
ENSP00000332433	4
ENSP00000332433	6
ENSP00000332433	6
ENSP00000332433	6
ENSP00000332433	6
ENSP00000332433	6
ENSP00000332433	6
ENSP00000301956	7
ENSP00000479919	56
ENSP00000371394	17
ENSP00000476795	5
ENSP00000476795	53
ENSP00000476795	7
ENSP00000265713	211
ENSP00000268150	20
ENSP00000268150	21
ENSP00000418112	26
ENSP00000418112	396
ENSP00000418112	34
ENSP00000325546	27
ENSP00000325546	9
ENSP00000325546	13
ENSP00000325546	7
ENSP00000292853	34
ENSP00000369921	211
ENSP00000369921	37
ENSP00000369921	44
ENSP00000369921	112
ENSP00000369921	38
ENSP00000369921	7
ENSP00000369921	70
ENSP00000369921	157
ENSP00000369921	15
ENSP00000369921	23
ENSP00000369921	63
ENSP00000369921	114
ENSP00000263710	91
ENSP00000369075	20
ENSP00000369075	71
ENSP00000369075	99
ENSP00000310260	208
ENSP00000361580	6
ENSP00000361580	6
ENSP00000361580	6
ENSP00000361580	6
ENSP00000361580	6
ENSP00000361580	4
ENSP00000256593	6
ENSP00000367197	9
ENSP00000362618	14
ENSP00000363694	8
ENSP00000363694	2
ENSP00000363694	10
ENSP00000244333	46
ENSP00000258390	29
ENSP00000258390	281
ENSP00000258390	59
ENSP00000271857	6
ENSP00000425840	45
ENSP00000262746	3
ENSP00000420659	5
ENSP00000420659	89
ENSP00000420659	4
ENSP00000420659	28
ENSP00000294066	210
ENSP00000310670	177
ENSP00000351075	13
ENSP00000351075	17
ENSP00000351075	118
ENSP00000356634	100
ENSP00000356634	29
ENSP00000356634	525
ENSP00000356634	7
ENSP00000430733	5
ENSP00000430733	6
ENSP00000430733	38
ENSP00000430733	5
ENSP00000430733	8
ENSP00000430733	4
ENSP00000430733	7
ENSP00000430733	4
ENSP00000430733	10
ENSP00000430733	4
ENSP00000430733	22
ENSP00000430733	4
ENSP00000430733	8
ENSP00000430733	4
ENSP00000430733	8
ENSP00000430733	4
ENSP00000430733	8
ENSP00000430733	4
ENSP00000430733	11
ENSP00000430733	4
ENSP00000430733	8
ENSP00000430733	4
ENSP00000430733	8
ENSP00000430733	4
ENSP00000430733	17
ENSP00000430733	10
ENSP00000430733	20
ENSP00000430733	5
ENSP00000430733	27
ENSP00000430733	17
ENSP00000430733	5
ENSP00000430733	5
ENSP00000430733	5
ENSP00000430733	5
ENSP00000430733	8
ENSP00000430733	5
ENSP00000430733	5
ENSP00000430733	5
ENSP00000430733	5
ENSP00000430733	8
ENSP00000430733	5
ENSP00000298310	12
ENSP00000298310	95
ENSP00000272286	20
ENSP00000332455	3
ENSP00000332455	3
ENSP00000332455	3
ENSP00000332455	2
ENSP00000332455	2
ENSP00000332455	4
ENSP00000332455	6
ENSP00000281923	24
ENSP00000254072	7
ENSP00000353408	6
ENSP00000353408	1
ENSP00000353408	2
ENSP00000323929	14
ENSP00000323929	118
ENSP00000323929	22
ENSP00000323929	4
ENSP00000323929	53
ENSP00000477751	26
ENSP00000342422	20
ENSP00000342422	26
ENSP00000415556	9
ENSP00000415556	44
ENSP00000345997	57
ENSP00000288774	28
ENSP00000253382	0
ENSP00000253382	7
ENSP00000258080	7
ENSP00000261596	362
ENSP00000261596	76
ENSP00000362638	13
ENSP00000273368	25
ENSP00000414635	0
ENSP00000414635	0
ENSP00000414635	27
ENSP00000414635	0
ENSP00000414635	0
ENSP00000353654	14
ENSP00000353654	61
ENSP00000353654	76
ENSP00000353654	12
ENSP00000353654	135
ENSP00000353654	5
ENSP00000353654	55
ENSP00000353654	13
ENSP00000353654	66
ENSP00000353654	102
ENSP00000353654	4
ENSP00000368119	2
ENSP00000012443	5
ENSP00000012443	7
ENSP00000264345	1
ENSP00000264345	23
ENSP00000450337	48
ENSP00000450337	14
ENSP00000414095	7
ENSP00000297107	40
ENSP00000425824	69
ENSP00000307023	6
ENSP00000307023	6
ENSP00000226193	4
ENSP00000356621	15
ENSP00000356621	51
ENSP00000265963	27
ENSP00000415769	88
ENSP00000415769	127
ENSP00000304643	6
ENSP00000423325	42
ENSP00000327786	2
ENSP00000348108	1
ENSP00000348108	114
ENSP00000217188	13
ENSP00000217188	28
ENSP00000462521	17
ENSP00000370813	27
ENSP00000291592	4
ENSP00000291592	0
ENSP00000352846	197
ENSP00000352846	6
ENSP00000352846	6
ENSP00000352846	23
ENSP00000352846	6
ENSP00000352846	6
ENSP00000352846	21
ENSP00000352846	6
ENSP00000352846	6
ENSP00000352846	6
ENSP00000352846	6
ENSP00000352846	5
ENSP00000352846	26
ENSP00000352846	27
ENSP00000352846	6
ENSP00000352846	6
ENSP00000352846	6
ENSP00000352846	6
ENSP00000393312	40
ENSP00000393312	10
ENSP00000393312	42
ENSP00000353465	13
ENSP00000420321	4
ENSP00000420321	2
ENSP00000420321	1
ENSP00000420321	6
ENSP00000420321	19
ENSP00000420321	39
ENSP00000420321	18
ENSP00000287461	87
ENSP00000287461	6
ENSP00000287461	6
ENSP00000287461	6
ENSP00000287461	6
ENSP00000287461	6
ENSP00000287461	6
ENSP00000287461	6
ENSP00000287461	6
ENSP00000287461	6
ENSP00000344668	49
ENSP00000344668	16
ENSP00000344666	6
ENSP00000344666	0
ENSP00000344666	2
ENSP00000286733	8
ENSP00000262462	6
ENSP00000262461	29
ENSP00000262461	5
ENSP00000334181	95
ENSP00000263754	140
ENSP00000263754	49
ENSP00000485033	8
ENSP00000485033	5
ENSP00000485033	11
ENSP00000307342	0
ENSP00000307342	9
ENSP00000360874	12
ENSP00000360874	5
ENSP00000302770	6
ENSP00000302770	83
ENSP00000302770	6
ENSP00000313258	6
ENSP00000313258	95
ENSP00000313258	114
ENSP00000296273	20
ENSP00000262259	218
ENSP00000262259	6
ENSP00000262259	6
ENSP00000262259	6
ENSP00000262259	6
ENSP00000262259	6
ENSP00000262259	6
ENSP00000262259	6
ENSP00000262259	6
ENSP00000262259	6
ENSP00000262259	6
ENSP00000262259	6
ENSP00000262259	6
ENSP00000305918	169
ENSP00000305918	133
ENSP00000317790	12
ENSP00000317790	6
ENSP00000317790	0
ENSP00000317790	3
ENSP00000317790	0
ENSP00000317790	8
ENSP00000317790	4
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000317790	0
ENSP00000312671	878
ENSP00000312671	166
ENSP00000360120	19
ENSP00000360120	22
ENSP00000360120	42
ENSP00000284073	21
ENSP00000408146	11
ENSP00000433488	84
ENSP00000361608	20
ENSP00000361608	32
ENSP00000361608	22
ENSP00000364543	54
ENSP00000364543	9
ENSP00000364543	6
ENSP00000349658	8
ENSP00000352925	39
ENSP00000383223	6
ENSP00000383223	1
ENSP00000383226	6
ENSP00000383226	6
ENSP00000353192	2
ENSP00000353192	8
ENSP00000353192	8
ENSP00000435412	15
ENSP00000435412	35
ENSP00000359760	9
ENSP00000359760	72
ENSP00000359760	11
ENSP00000359760	20
ENSP00000359760	12
ENSP00000359760	2
ENSP00000482835	154
ENSP00000482835	0
ENSP00000461413	5
ENSP00000461413	6
ENSP00000461413	6
ENSP00000461413	5
ENSP00000461413	6
ENSP00000461413	6
ENSP00000461413	6
ENSP00000461413	6
ENSP00000311401	33
ENSP00000222511	8
ENSP00000460823	52
ENSP00000238651	36
ENSP00000354255	39
ENSP00000354255	1
ENSP00000396415	77
ENSP00000351209	104
ENSP00000351209	19
ENSP00000351209	16
ENSP00000351209	3
ENSP00000351209	28
ENSP00000320291	15
ENSP00000320291	203
ENSP00000357753	14
ENSP00000357753	4
ENSP00000357753	0
ENSP00000357753	1
ENSP00000357753	1
ENSP00000357753	1
ENSP00000357753	1
ENSP00000357753	0
ENSP00000357753	1
ENSP00000357753	2
ENSP00000357753	0
ENSP00000357753	2
ENSP00000357753	0
ENSP00000357753	2
ENSP00000357753	0
ENSP00000357753	0
ENSP00000357753	2
ENSP00000357753	0
ENSP00000357753	1
ENSP00000357753	0
ENSP00000357753	1
ENSP00000357753	0
ENSP00000357753	2
ENSP00000357753	0
ENSP00000357753	0
ENSP00000357753	1
ENSP00000357753	0
ENSP00000357753	1
ENSP00000357753	0
ENSP00000357753	0
ENSP00000357753	2
ENSP00000357753	0
ENSP00000357753	1
ENSP00000357753	0
ENSP00000357753	1
ENSP00000357753	0
ENSP00000357753	0
ENSP00000357753	1
ENSP00000357753	0
ENSP00000376333	49
ENSP00000382097	44
ENSP00000334300	4
ENSP00000299492	12
ENSP00000299492	16
ENSP00000382323	38
ENSP00000382323	95
ENSP00000382323	30
ENSP00000382323	8
ENSP00000382323	133
ENSP00000382323	27
ENSP00000382323	66
ENSP00000382323	722
ENSP00000382323	43
ENSP00000310832	23
ENSP00000332296	69
ENSP00000335620	7
ENSP00000377527	1
ENSP00000377527	9
ENSP00000377527	31
ENSP00000377527	12
ENSP00000377527	32
ENSP00000402346	52
ENSP00000402346	0
ENSP00000306900	13
ENSP00000481542	14
ENSP00000481542	36
ENSP00000481542	222
ENSP00000481542	131
ENSP00000481542	24
ENSP00000481542	13
ENSP00000481542	11
ENSP00000481542	2
ENSP00000481542	6
ENSP00000481542	0
ENSP00000481542	10
ENSP00000481542	22
ENSP00000478565	28
ENSP00000444029	21
ENSP00000444029	36
ENSP00000444029	38
ENSP00000444029	43
ENSP00000444029	29
ENSP00000444029	506
ENSP00000269081	40
ENSP00000269081	57
ENSP00000269081	19
ENSP00000381760	0
ENSP00000298048	287
ENSP00000281038	16
ENSP00000341044	34
ENSP00000341044	34
ENSP00000341044	66
ENSP00000341044	0
ENSP00000341044	38
ENSP00000261951	33
ENSP00000347942	64
ENSP00000005386	5
ENSP00000005386	5
ENSP00000005386	4
ENSP00000005386	46
ENSP00000388207	45
ENSP00000392189	7
ENSP00000216124	17
ENSP00000367343	33
ENSP00000393952	4
ENSP00000301480	45
ENSP00000301480	157
ENSP00000301480	6
ENSP00000301480	6
ENSP00000301480	4
ENSP00000301480	21
ENSP00000301480	5
ENSP00000301480	6
ENSP00000301480	6
ENSP00000301480	6
ENSP00000301480	10
ENSP00000301480	35
ENSP00000301480	6
ENSP00000301480	6
ENSP00000328359	7
ENSP00000254231	27
ENSP00000318820	33
ENSP00000318820	2
ENSP00000342667	16
ENSP00000250066	193
ENSP00000334140	39
ENSP00000334140	11
ENSP00000368966	40
ENSP00000368966	52
ENSP00000377080	104
ENSP00000377080	6
ENSP00000377080	4
ENSP00000377080	6
ENSP00000377080	5
ENSP00000377080	6
ENSP00000377080	6
ENSP00000354238	6
ENSP00000354238	26
ENSP00000354238	76
ENSP00000343871	16
ENSP00000343871	3
ENSP00000343871	1
ENSP00000294954	13
ENSP00000294954	82
ENSP00000241600	0
ENSP00000008527	54
ENSP00000244096	14
ENSP00000321475	5
ENSP00000321475	97
ENSP00000321475	38
ENSP00000433979	28
ENSP00000379078	6
ENSP00000379078	3
ENSP00000379078	14
ENSP00000379078	8
ENSP00000317636	20
ENSP00000317636	7
ENSP00000317636	93
ENSP00000291633	15
ENSP00000346537	8
ENSP00000346537	1
ENSP00000346537	4
ENSP00000346537	60
ENSP00000343701	2
ENSP00000343701	2
ENSP00000343701	4
ENSP00000343701	8
ENSP00000343701	3
ENSP00000343701	4
ENSP00000343701	2
ENSP00000343701	4
ENSP00000343701	8
ENSP00000284476	130
ENSP00000365407	161
ENSP00000365407	6
ENSP00000365407	5
ENSP00000365407	6
ENSP00000365407	5
ENSP00000365407	6
ENSP00000365407	6
ENSP00000365407	6
ENSP00000365407	28
ENSP00000365407	7
ENSP00000365407	29
ENSP00000362993	80
ENSP00000362993	460
ENSP00000450607	30
ENSP00000355086	14
ENSP00000261292	3
ENSP00000368752	106
ENSP00000382507	35
ENSP00000307449	2
ENSP00000307449	58
ENSP00000326411	3
ENSP00000386331	1
ENSP00000386331	0
ENSP00000386331	10
ENSP00000386331	30
ENSP00000386331	12
ENSP00000491620	37
ENSP00000383599	34
ENSP00000383599	4
ENSP00000230792	30
ENSP00000230792	0
ENSP00000230792	17
ENSP00000319678	8
ENSP00000319678	14
ENSP00000482890	54
ENSP00000269187	6
ENSP00000338934	6
ENSP00000338934	0
ENSP00000338934	6
ENSP00000352358	20
ENSP00000391950	404
ENSP00000300255	8
ENSP00000300255	40
ENSP00000295454	2
ENSP00000309186	87
ENSP00000309186	10
ENSP00000309186	152
ENSP00000309186	305
ENSP00000400646	3
ENSP00000400646	14
ENSP00000400646	4
ENSP00000400646	12
ENSP00000400646	3
ENSP00000361784	77
ENSP00000361784	6
ENSP00000361784	6
ENSP00000361784	6
ENSP00000361784	6
ENSP00000361784	6
ENSP00000361784	6
ENSP00000361784	6
ENSP00000489051	204
ENSP00000489051	24
ENSP00000324064	144
ENSP00000324064	6
ENSP00000324064	6
ENSP00000324064	6
ENSP00000324064	29
ENSP00000324064	6
ENSP00000324064	6
ENSP00000324064	6
ENSP00000324064	6
ENSP00000324064	6
ENSP00000402653	4
ENSP00000402653	3
ENSP00000402653	39
ENSP00000332576	239
ENSP00000257951	0
ENSP00000290401	5
ENSP00000290401	7
ENSP00000318674	0
ENSP00000318674	15
ENSP00000223321	0
ENSP00000267119	0
ENSP00000411197	32
ENSP00000411197	75
ENSP00000264709	207
ENSP00000330838	6
ENSP00000330838	6
ENSP00000330838	6
ENSP00000330838	50
ENSP00000330838	6
ENSP00000330838	5
ENSP00000330838	7
ENSP00000330838	33
ENSP00000330838	6
ENSP00000330838	5
ENSP00000372390	28
ENSP00000349588	7
ENSP00000349588	28
ENSP00000349588	6
ENSP00000349588	37
ENSP00000349588	2157
ENSP00000299608	16
ENSP00000247226	15
ENSP00000298912	38
ENSP00000356399	9
ENSP00000356399	5
ENSP00000356399	5
ENSP00000356399	5
ENSP00000356399	5
ENSP00000356399	9
ENSP00000356399	12
ENSP00000356399	4
ENSP00000356399	13
ENSP00000356399	18
ENSP00000356399	7
ENSP00000356399	67
ENSP00000356399	6
ENSP00000356399	5
ENSP00000356399	9
ENSP00000356399	5
ENSP00000356399	7
ENSP00000356399	4
ENSP00000332744	113
ENSP00000406549	480
ENSP00000406549	161
ENSP00000406549	84
ENSP00000406549	25
ENSP00000357858	5
ENSP00000357858	50
ENSP00000385521	2
ENSP00000385521	5
ENSP00000385521	10
ENSP00000262394	5
ENSP00000262394	5
ENSP00000262394	20
ENSP00000262394	5
ENSP00000262394	4
ENSP00000457704	189
ENSP00000338481	7
ENSP00000338481	1
ENSP00000338481	5
ENSP00000338481	80
ENSP00000338481	218
ENSP00000240185	15
ENSP00000265866	103
ENSP00000264741	29
ENSP00000378635	0
ENSP00000378635	0
ENSP00000378635	3
ENSP00000378635	2
ENSP00000364885	157
ENSP00000364885	43
ENSP00000364885	6
ENSP00000364885	6
ENSP00000364885	6
ENSP00000364885	6
ENSP00000364885	7
ENSP00000364885	6
ENSP00000364885	6
ENSP00000364885	6
ENSP00000304102	25
ENSP00000365131	190
ENSP00000284202	41
ENSP00000314036	7
ENSP00000462664	39
ENSP00000314299	9
ENSP00000314299	7
ENSP00000314299	7
ENSP00000314299	4
ENSP00000468984	98
ENSP00000468984	97
ENSP00000468984	6
ENSP00000468980	7
ENSP00000299164	69
ENSP00000299164	94
ENSP00000299164	108
ENSP00000299164	45
ENSP00000299164	9
ENSP00000364794	23
ENSP00000346265	17
ENSP00000357112	59
ENSP00000274026	7
ENSP00000274026	3
ENSP00000251582	53
ENSP00000251582	96
ENSP00000251582	106
ENSP00000251582	25
ENSP00000251582	7
ENSP00000251582	23
ENSP00000456138	0
ENSP00000456138	0
ENSP00000316109	99
ENSP00000269571	11
ENSP00000269571	20
ENSP00000269571	23
ENSP00000269571	34
ENSP00000381758	12
ENSP00000381758	26
ENSP00000322373	14
ENSP00000439800	25
ENSP00000439800	58
ENSP00000329189	19
ENSP00000331857	23
ENSP00000331857	14
ENSP00000331857	14
ENSP00000331857	13
ENSP00000262940	29
ENSP00000262940	19
ENSP00000262940	29
ENSP00000262940	7
ENSP00000300289	6
ENSP00000300289	20
ENSP00000354398	18
ENSP00000280190	13
ENSP00000280190	35
ENSP00000280190	5
ENSP00000280190	3
ENSP00000350785	14
ENSP00000350785	23
ENSP00000452552	182
ENSP00000452552	6
ENSP00000452552	28
ENSP00000452552	6
ENSP00000452552	6
ENSP00000452552	6
ENSP00000452552	6
ENSP00000452552	5
ENSP00000452552	6
ENSP00000452552	6
ENSP00000452552	6
ENSP00000263095	133
ENSP00000263095	6
ENSP00000263095	6
ENSP00000263095	6
ENSP00000263095	25
ENSP00000263095	28
ENSP00000263095	6
ENSP00000263095	6
ENSP00000263095	6
ENSP00000263095	4
ENSP00000263095	6
ENSP00000263094	35
ENSP00000263094	66
ENSP00000263094	19
ENSP00000320447	190
ENSP00000261944	75
ENSP00000261944	76
ENSP00000261944	11
ENSP00000261944	12
ENSP00000261944	15
ENSP00000285805	18
ENSP00000306999	54
ENSP00000263339	14
ENSP00000313350	66
ENSP00000296518	17
ENSP00000296518	3
ENSP00000244137	9
ENSP00000296513	41
ENSP00000442464	57
ENSP00000394794	20
ENSP00000394794	4
ENSP00000394794	148
ENSP00000394794	0
ENSP00000394794	0
ENSP00000394794	47
ENSP00000394794	198
ENSP00000394794	16
ENSP00000394794	250
ENSP00000240327	15
ENSP00000354566	32
ENSP00000306678	33
ENSP00000410298	114
ENSP00000347358	15
ENSP00000360431	85
ENSP00000360431	14
ENSP00000360431	205
ENSP00000360431	25
ENSP00000360431	128
ENSP00000311596	107
ENSP00000311596	42
ENSP00000311596	5
ENSP00000311596	5
ENSP00000311596	6
ENSP00000311596	6
ENSP00000311596	27
ENSP00000311596	6
ENSP00000311596	4
ENSP00000311596	6
ENSP00000311596	5
ENSP00000311596	6
ENSP00000311596	6
ENSP00000222482	24
ENSP00000392066	57
ENSP00000392066	35
ENSP00000275230	10
ENSP00000379769	24
ENSP00000379769	73
ENSP00000398798	147
ENSP00000398798	885
ENSP00000398798	6
ENSP00000467423	340
ENSP00000263985	9
ENSP00000219091	134
ENSP00000219091	6
ENSP00000219091	6
ENSP00000219091	6
ENSP00000219091	6
ENSP00000219091	6
ENSP00000219091	5
ENSP00000219091	6
ENSP00000331831	40
ENSP00000331831	8
ENSP00000331831	2
ENSP00000331831	62
ENSP00000331831	71
ENSP00000309576	75
ENSP00000309572	94
ENSP00000284509	45
ENSP00000284509	12
ENSP00000229328	40
ENSP00000349543	18
ENSP00000354040	13
ENSP00000490468	27
ENSP00000490468	6
ENSP00000304437	1076
ENSP00000304437	97
ENSP00000241305	30
ENSP00000241305	1
ENSP00000262031	18
ENSP00000160373	346
ENSP00000378350	6
ENSP00000378350	1
ENSP00000378359	23
ENSP00000273395	11
ENSP00000273395	17
ENSP00000273395	3
ENSP00000273395	0
ENSP00000273395	8
ENSP00000273395	32
ENSP00000273395	23
ENSP00000375660	85
ENSP00000375660	6
ENSP00000375660	6
ENSP00000375660	6
ENSP00000375660	6
ENSP00000375660	6
ENSP00000375660	6
ENSP00000375660	6
ENSP00000375660	6
ENSP00000375660	6
ENSP00000375660	6
ENSP00000375660	6
ENSP00000315505	204
ENSP00000315505	6
ENSP00000315505	6
ENSP00000315505	6
ENSP00000315505	6
ENSP00000315505	6
ENSP00000315505	6
ENSP00000315505	6
ENSP00000315505	6
ENSP00000315505	6
ENSP00000315505	4
ENSP00000315505	6
ENSP00000315505	6
ENSP00000306124	34
ENSP00000306124	22
